Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-13-08-44-26;ABH1998w;1;Passive;KDE -45;1,27137114939;left;8,95693248695
2018-12-13-08-44-26;ABH1998w;1;Passive;KDE -45;1,27137114939;right;14,8448370982
2018-12-13-08-44-26;ABH1998w;1;Passive;KDE -45;1,27137114939;unclear;29,1891582669
2018-12-13-08-44-26;ABH1998w;1;Passive;KDE -45;1,27137114939;left;29,2058263019
2018-12-13-08-44-26;ABH1998w;1;Passive;KDE -45;1,27137114939;right;46,769359327
2018-12-13-08-44-26;ABH1998w;1;Passive;KDE -45;1,27137114939;left;54,1916247144
2018-12-13-08-44-26;ABH1998w;1;Passive;KDE -45;1,27137114939;unclear;57,2605816848
2018-12-13-08-44-26;ABH1998w;1;Passive;KDE -45;1,27137114939;right;57,2606494802
2018-12-13-08-44-26;ABH1998w;1;Passive;KDE -45;1,27137114939;end of the block;60,0127797494
2018-12-13-08-44-26;ABH1998w;2;Passive;KDE 45;1,47469765282;left;1,30102663427
2018-12-13-08-44-26;ABH1998w;2;Passive;KDE 45;1,47469765282;unclear;1,60125433984
2018-12-13-08-44-26;ABH1998w;2;Passive;KDE 45;1,47469765282;left;1,95155114699
2018-12-13-08-44-26;ABH1998w;2;Passive;KDE 45;1,47469765282;right;28,321738138
2018-12-13-08-44-26;ABH1998w;2;Passive;KDE 45;1,47469765282;unclear;30,8570384095
2018-12-13-08-44-26;ABH1998w;2;Passive;KDE 45;1,47469765282;left;30,857105272
2018-12-13-08-44-26;ABH1998w;2;Passive;KDE 45;1,47469765282;right;40,8147524098
2018-12-13-08-44-26;ABH1998w;2;Passive;KDE 45;1,47469765282;left;43,6168584842
2018-12-13-08-44-26;ABH1998w;2;Passive;KDE 45;1,47469765282;end of the block;60,0127303023
2018-12-13-08-44-26;ABH1998w;3;Passive;NC;1,23011586073;left;2,95236655807
2018-12-13-08-44-26;ABH1998w;3;Passive;NC;1,23011586073;unclear;3,33591204756
2018-12-13-08-44-26;ABH1998w;3;Passive;NC;1,23011586073;left;5,48763106598
2018-12-13-08-44-26;ABH1998w;3;Passive;NC;1,23011586073;unclear;20,8827739277
2018-12-13-08-44-26;ABH1998w;3;Passive;NC;1,23011586073;end of the block;60,0127324792
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;right;1,01745545716
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;left;30,2899221783
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;right;34,8600462875
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;unclear;38,3126796734
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;left;38,3127515117
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;right;41,1982378786
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;left;45,0678837501
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;right;49,4712454083
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;left;52,9071690868
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;right;55,5759386557
2018-12-13-08-44-26;ABH1998w;4;Passive;KDE -45;1,07905754537;end of the block;60,0127461627
2018-12-13-08-44-26;ABH1998w;5;Passive;KDE 45;1,20634977605;left;1,41786210534
2018-12-13-08-44-26;ABH1998w;5;Passive;KDE 45;1,20634977605;right;27,7380854198
2018-12-13-08-44-26;ABH1998w;5;Passive;KDE 45;1,20634977605;left;36,811663053
2018-12-13-08-44-26;ABH1998w;5;Passive;KDE 45;1,20634977605;right;47,6199584147
2018-12-13-08-44-26;ABH1998w;5;Passive;KDE 45;1,20634977605;unclear;53,0408022749
2018-12-13-08-44-26;ABH1998w;5;Passive;KDE 45;1,20634977605;left;53,0574112222
2018-12-13-08-44-26;ABH1998w;5;Passive;KDE 45;1,20634977605;right;58,2280859049
2018-12-13-08-44-26;ABH1998w;5;Passive;KDE 45;1,20634977605;end of the block;60,0127530045
2018-12-13-08-44-26;ABH1998w;6;Passive;NC;1,26847654183;right;2,48537080368
2018-12-13-08-44-26;ABH1998w;6;Passive;NC;1,26847654183;unclear;5,70443556262
2018-12-13-08-44-26;ABH1998w;6;Passive;NC;1,26847654183;right;6,77196851804
2018-12-13-08-44-26;ABH1998w;6;Passive;NC;1,26847654183;unclear;6,98876834986
2018-12-13-08-44-26;ABH1998w;6;Passive;NC;1,26847654183;right;10,0749161265
2018-12-13-08-44-26;ABH1998w;6;Passive;NC;1,26847654183;left;49,1043747955
2018-12-13-08-44-26;ABH1998w;6;Passive;NC;1,26847654183;end of the block;60,012711954
2018-12-13-08-44-26;ABH1998w;7;Passive;KDE -45;1,44606051751;right;0,800696364796
2018-12-13-08-44-26;ABH1998w;7;Passive;KDE -45;1,44606051751;left;21,9335458627
2018-12-13-08-44-26;ABH1998w;7;Passive;KDE -45;1,44606051751;right;26,3870098981
2018-12-13-08-44-26;ABH1998w;7;Passive;KDE -45;1,44606051751;left;42,4659128934
2018-12-13-08-44-26;ABH1998w;7;Passive;KDE -45;1,44606051751;right;44,0171366942
2018-12-13-08-44-26;ABH1998w;7;Passive;KDE -45;1,44606051751;left;45,9519327295
2018-12-13-08-44-26;ABH1998w;7;Passive;KDE -45;1,44606051751;right;50,0884665047
2018-12-13-08-44-26;ABH1998w;7;Passive;KDE -45;1,44606051751;left;59,5457090469
2018-12-13-08-44-26;ABH1998w;7;Passive;KDE -45;1,44606051751;end of the block;60,0126901848
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;left;1,23434360963
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;right;22,2004486938
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;unclear;31,1739484556
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;left;31,1906724685
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;right;39,3636313596
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;unclear;40,547816303
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;left;40,564512327
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;unclear;42,7328866299
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;right;42,7329584681
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;unclear;45,3015198616
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;left;45,3015780164
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;right;52,6238100036
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;left;59,9460886391
2018-12-13-08-44-26;ABH1998w;8;Passive;KDE 45;1,04567293649;end of the block;60,0127458517
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;right;4,12021622388
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;unclear;9,6574611047
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;left;9,67416241546
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;right;13,860665465
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;left;18,2310956488
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;right;20,6658727138
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;left;30,39004732
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;right;31,6244043021
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;left;35,143685571
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;right;39,5971315692
2018-12-13-08-44-26;ABH1998w;9;Passive;NC;1,42161941724;end of the block;60,0128391482
2018-12-13-08-44-26;ABH1998w;10;Passive;KDE -45;1,45818428994;right;0,96751106185
2018-12-13-08-44-26;ABH1998w;10;Passive;KDE -45;1,45818428994;left;14,0775753867
2018-12-13-08-44-26;ABH1998w;10;Passive;KDE -45;1,45818428994;right;18,18068757
2018-12-13-08-44-26;ABH1998w;10;Passive;KDE -45;1,45818428994;left;25,2194606469
2018-12-13-08-44-26;ABH1998w;10;Passive;KDE -45;1,45818428994;right;37,8291318826
2018-12-13-08-44-26;ABH1998w;10;Passive;KDE -45;1,45818428994;left;54,9922507958
2018-12-13-08-44-26;ABH1998w;10;Passive;KDE -45;1,45818428994;right;57,7277061883
2018-12-13-08-44-26;ABH1998w;10;Passive;KDE -45;1,45818428994;end of the block;60,0128935711
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;left;1,15094994458
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;right;15,1282792152
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;unclear;19,3482066554
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;left;19,4149406821
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;right;34,6933457231
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;unclear;38,1793254417
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;left;38,2293793049
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;right;42,6160788368
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;unclear;44,7343890139
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;left;44,7510999653
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;right;50,772337661
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;unclear;58,9952378376
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;left;59,2121175933
2018-12-13-08-44-26;ABH1998w;11;Passive;KDE 45;1,03662044565;end of the block;60,0126765014
2018-12-13-08-44-26;ABH1998w;12;Passive;NC;1,26972652769;right;1,33443112171
2018-12-13-08-44-26;ABH1998w;12;Passive;NC;1,26972652769;end of the block;60,0127940549
2018-12-13-08-44-26;ABH1998w;13;Passive;KDE -45;1,182278295;right;0,934137673236
2018-12-13-08-44-26;ABH1998w;13;Passive;KDE -45;1,182278295;unclear;13,2101723621
2018-12-13-08-44-26;ABH1998w;13;Passive;KDE -45;1,182278295;left;13,2602734955
2018-12-13-08-44-26;ABH1998w;13;Passive;KDE -45;1,182278295;right;22,7011863578
2018-12-13-08-44-26;ABH1998w;13;Passive;KDE -45;1,182278295;left;39,5970889638
2018-12-13-08-44-26;ABH1998w;13;Passive;KDE -45;1,182278295;end of the block;60,0127526935
2018-12-13-08-44-26;ABH1998w;14;Passive;KDE 45;1,2189569035;left;0,750700656434
