Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-12-15-53-46;ABP1991w;1;Passive;KDE -45;1,30975035398;right;1,1843962125
2018-12-12-15-53-46;ABP1991w;1;Passive;KDE -45;1,30975035398;unclear;14,2778334624
2018-12-12-15-53-46;ABP1991w;1;Passive;KDE -45;1,30975035398;left;14,2944546881
2018-12-12-15-53-46;ABP1991w;1;Passive;KDE -45;1,30975035398;right;32,8089190357
2018-12-12-15-53-46;ABP1991w;1;Passive;KDE -45;1,30975035398;unclear;52,4740995799
2018-12-12-15-53-46;ABP1991w;1;Passive;KDE -45;1,30975035398;left;52,4907851808
2018-12-12-15-53-46;ABP1991w;1;Passive;KDE -45;1,30975035398;unclear;59,6630745131
2018-12-12-15-53-46;ABP1991w;1;Passive;KDE -45;1,30975035398;right;59,6797053796
2018-12-12-15-53-46;ABP1991w;1;Passive;KDE -45;1,30975035398;end of the block;60,0132836701
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;right;0,600514005947
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;unclear;0,767340159171
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;left;0,934148274917
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;unclear;11,4589639583
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;right;11,4756579559
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;left;32,3919031002
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;unclear;50,7061529883
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;right;50,7227841657
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;left;56,2604111239
2018-12-12-15-53-46;ABP1991w;2;Passive;KDE 45;1,49601907329;end of the block;60,0134040237
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;right;0,667267293977
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;0,800670621021
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;right;1,20100655351
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;3,71962325305
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;left;3,80300491957
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;13,3103802269
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;right;13,3289383047
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;left;32,9089636007
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;35,1439804424
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;right;35,1440575682
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;left;40,9484905585
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;right;42,2662064414
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;left;44,3011826677
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;45,3852724608
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;right;45,3853486536
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;46,5027894339
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;left;46,5195185735
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;48,2374674509
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;right;48,2375445767
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;49,1548477124
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;left;49,1882254448
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;50,3891206636
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;right;50,5559300233
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;53,4415242043
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;left;53,4581958105
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;unclear;59,3127425147
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;right;59,3461050086
2018-12-12-15-53-46;ABP1991w;3;Passive;NC;1,45975534648;end of the block;60,0133514662
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;right;0,700619525198
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;unclear;6,27166464471
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;left;6,32163094883
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;unclear;16,5962789303
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;right;16,59636041
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;left;30,7573075891
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;unclear;36,5784289791
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;right;36,5785054829
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;unclear;43,3669656638
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;left;43,4004171011
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;unclear;51,256498235
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;right;51,3065314022
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;unclear;57,3111723211
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;left;57,3278756484
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;unclear;57,8949590534
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;right;57,9783257923
2018-12-12-15-53-46;ABP1991w;4;Passive;KDE -45;1,35614346842;end of the block;60,0132678096
2018-12-12-15-53-46;ABP1991w;5;Passive;KDE 45;1,40986261315;left;0,784033534783
2018-12-12-15-53-46;ABP1991w;5;Passive;KDE 45;1,40986261315;unclear;23,6183903914
2018-12-12-15-53-46;ABP1991w;5;Passive;KDE 45;1,40986261315;right;23,6351011825
2018-12-12-15-53-46;ABP1991w;5;Passive;KDE 45;1,40986261315;unclear;39,7810163
2018-12-12-15-53-46;ABP1991w;5;Passive;KDE 45;1,40986261315;left;39,814305089
2018-12-12-15-53-46;ABP1991w;5;Passive;KDE 45;1,40986261315;unclear;55,5098001043
2018-12-12-15-53-46;ABP1991w;5;Passive;KDE 45;1,40986261315;right;55,5264835282
2018-12-12-15-53-46;ABP1991w;5;Passive;KDE 45;1,40986261315;end of the block;60,0132824262
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;right;0,433751294889
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;6,00471555673
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;left;6,03809204525
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;10,8250958552
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;right;11,425648735
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;14,4278909802
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;right;16,5796424661
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;24,1021005266
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;left;24,3857041163
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;28,4555458561
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;left;29,6564416968
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;35,2607588119
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;right;35,3441432773
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;44,5179188357
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;right;45,8690488371
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;51,7402404023
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;left;51,7903018696
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;54,642524538
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;right;54,6929150338
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;unclear;56,8109093782
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;left;56,8275203411
2018-12-12-15-53-46;ABP1991w;6;Passive;NC;1,05987125453;end of the block;60,0132793163
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;right;0,483819604065
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;unclear;5,83793263126
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;left;5,88803297251
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;unclear;16,8964853973
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;right;16,8965603461
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;unclear;17,2301072266
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;left;17,3635463176
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;unclear;17,7471733249
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;right;17,7472560485
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;left;29,4063113138
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;unclear;49,1048291618
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;right;49,1049090864
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;unclear;57,7448691925
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;left;57,7949166653
2018-12-12-15-53-46;ABP1991w;7;Passive;KDE -45;1,44863934372;end of the block;60,0132827372
