Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-13-14-02-02;AEV1992W;1;Passive;KDE -45;1,3263844179;left;3,83638968642
2018-12-13-14-02-02;AEV1992W;1;Passive;KDE -45;1,3263844179;unclear;4,03655401606
2018-12-13-14-02-02;AEV1992W;1;Passive;KDE -45;1,3263844179;left;4,83718925401
2018-12-13-14-02-02;AEV1992W;1;Passive;KDE -45;1,3263844179;right;6,10486308766
2018-12-13-14-02-02;AEV1992W;1;Passive;KDE -45;1,3263844179;unclear;15,1620006046
2018-12-13-14-02-02;AEV1992W;1;Passive;KDE -45;1,3263844179;right;16,1294602872
2018-12-13-14-02-02;AEV1992W;1;Passive;KDE -45;1,3263844179;left;17,3303728703
2018-12-13-14-02-02;AEV1992W;1;Passive;KDE -45;1,3263844179;right;33,9934887022
2018-12-13-14-02-02;AEV1992W;1;Passive;KDE -45;1,3263844179;end of the block;60,0140205779
2018-12-13-14-02-02;AEV1992W;2;Passive;KDE 45;1,02050831084;left;2,31849784543
2018-12-13-14-02-02;AEV1992W;2;Passive;KDE 45;1,02050831084;right;8,9904757847
2018-12-13-14-02-02;AEV1992W;2;Passive;KDE 45;1,02050831084;left;28,2223432337
2018-12-13-14-02-02;AEV1992W;2;Passive;KDE 45;1,02050831084;right;39,7647840701
2018-12-13-14-02-02;AEV1992W;2;Passive;KDE 45;1,02050831084;left;52,1745097478
2018-12-13-14-02-02;AEV1992W;2;Passive;KDE 45;1,02050831084;right;56,5112508583
2018-12-13-14-02-02;AEV1992W;2;Passive;KDE 45;1,02050831084;end of the block;60,0140992596
2018-12-13-14-02-02;AEV1992W;3;Passive;NC;1,36631798126;end of the block;60,0140395486
2018-12-13-14-02-02;AEV1992W;4;Passive;KDE -45;1,12212113183;right;0,784032159349
2018-12-13-14-02-02;AEV1992W;4;Passive;KDE -45;1,12212113183;left;11,9094302327
2018-12-13-14-02-02;AEV1992W;4;Passive;KDE -45;1,12212113183;right;19,9491962029
2018-12-13-14-02-02;AEV1992W;4;Passive;KDE -45;1,12212113183;left;39,2309378856
2018-12-13-14-02-02;AEV1992W;4;Passive;KDE -45;1,12212113183;right;48,4048977947
2018-12-13-14-02-02;AEV1992W;4;Passive;KDE -45;1,12212113183;left;56,594641933
2018-12-13-14-02-02;AEV1992W;4;Passive;KDE -45;1,12212113183;end of the block;60,0139969423
2018-12-13-14-02-02;AEV1992W;5;Passive;KDE 45;1,09133251056;left;0,800721694499
2018-12-13-14-02-02;AEV1992W;5;Passive;KDE 45;1,09133251056;right;7,03898972722
2018-12-13-14-02-02;AEV1992W;5;Passive;KDE 45;1,09133251056;left;25,119873251
2018-12-13-14-02-02;AEV1992W;5;Passive;KDE 45;1,09133251056;right;39,6980318384
2018-12-13-14-02-02;AEV1992W;5;Passive;KDE 45;1,09133251056;left;59,5303331874
2018-12-13-14-02-02;AEV1992W;5;Passive;KDE 45;1,09133251056;end of the block;60,0140448355
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;right;0,867435673838
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;left;6,93891409329
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;right;9,79113403626
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;left;23,0348678023
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;right;24,4359786135
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;left;28,4892569961
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;right;30,1070683517
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;left;32,4256147123
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;right;35,861638731
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;unclear;35,8949913668
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;right;36,0785028587
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;left;39,6479539031
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;right;41,8664236968
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;left;45,5525522098
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;right;47,1704991591
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;left;56,4782428048
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;right;57,5787488555
2018-12-13-14-02-02;AEV1992W;6;Passive;NC;1,26392465501;end of the block;60,0140625622
2018-12-13-14-02-02;AEV1992W;7;Passive;KDE -45;1,20295785317;right;0,750667394809
2018-12-13-14-02-02;AEV1992W;7;Passive;KDE -45;1,20295785317;left;7,72290768928
2018-12-13-14-02-02;AEV1992W;7;Passive;KDE -45;1,20295785317;right;12,3932354902
2018-12-13-14-02-02;AEV1992W;7;Passive;KDE -45;1,20295785317;left;15,6290687448
2018-12-13-14-02-02;AEV1992W;7;Passive;KDE -45;1,20295785317;right;27,1214543485
2018-12-13-14-02-02;AEV1992W;7;Passive;KDE -45;1,20295785317;left;56,4778836058
2018-12-13-14-02-02;AEV1992W;7;Passive;KDE -45;1,20295785317;end of the block;60,014131603
2018-12-13-14-02-02;AEV1992W;8;Passive;KDE 45;1,31392398834;left;0,984372512042
2018-12-13-14-02-02;AEV1992W;8;Passive;KDE 45;1,31392398834;right;23,5185999761
2018-12-13-14-02-02;AEV1992W;8;Passive;KDE 45;1,31392398834;end of the block;60,0139633549
2018-12-13-14-02-02;AEV1992W;9;Passive;NC;1,02014676857;right;0,633910311592
2018-12-13-14-02-02;AEV1992W;9;Passive;NC;1,02014676857;left;10,2414495094
2018-12-13-14-02-02;AEV1992W;9;Passive;NC;1,02014676857;right;12,9769646163
2018-12-13-14-02-02;AEV1992W;9;Passive;NC;1,02014676857;left;14,1278527552
2018-12-13-14-02-02;AEV1992W;9;Passive;NC;1,02014676857;right;36,795744845
2018-12-13-14-02-02;AEV1992W;9;Passive;NC;1,02014676857;left;40,2484832784
2018-12-13-14-02-02;AEV1992W;9;Passive;NC;1,02014676857;right;46,2198157791
2018-12-13-14-02-02;AEV1992W;9;Passive;NC;1,02014676857;left;52,3746579057
2018-12-13-14-02-02;AEV1992W;9;Passive;NC;1,02014676857;end of the block;60,0140211999
2018-12-13-14-02-02;AEV1992W;10;Passive;KDE -45;1,40454299065;right;0,667266368278
2018-12-13-14-02-02;AEV1992W;10;Passive;KDE -45;1,40454299065;left;20,8497966716
2018-12-13-14-02-02;AEV1992W;10;Passive;KDE -45;1,40454299065;right;39,7647355549
2018-12-13-14-02-02;AEV1992W;10;Passive;KDE -45;1,40454299065;left;54,4930635723
2018-12-13-14-02-02;AEV1992W;10;Passive;KDE -45;1,40454299065;end of the block;60,0139978753
2018-12-13-14-02-02;AEV1992W;11;Passive;KDE 45;1,02216095307;right;0,784019408563
2018-12-13-14-02-02;AEV1992W;11;Passive;KDE 45;1,02216095307;left;3,0191373751
2018-12-13-14-02-02;AEV1992W;11;Passive;KDE 45;1,02216095307;right;28,4224920137
2018-12-13-14-02-02;AEV1992W;11;Passive;KDE 45;1,02216095307;left;45,8529072415
2018-12-13-14-02-02;AEV1992W;11;Passive;KDE 45;1,02216095307;unclear;53,0085473807
2018-12-13-14-02-02;AEV1992W;11;Passive;KDE 45;1,02216095307;right;53,025223854
2018-12-13-14-02-02;AEV1992W;11;Passive;KDE 45;1,02216095307;end of the block;60,014135957
