Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-11-16-02-57;AHB1998m;1;Passive;KDE -45;1,37468668601;right;1,81822289826
2018-12-11-16-02-57;AHB1998m;1;Passive;KDE -45;1,37468668601;unclear;2,31859127606
2018-12-11-16-02-57;AHB1998m;1;Passive;KDE -45;1,37468668601;right;3,61966089339
2018-12-11-16-02-57;AHB1998m;1;Passive;KDE -45;1,37468668601;left;32,759655339
2018-12-11-16-02-57;AHB1998m;1;Passive;KDE -45;1,37468668601;right;57,4628358279
2018-12-11-16-02-57;AHB1998m;1;Passive;KDE -45;1,37468668601;end of the block;60,0147491066
2018-12-11-16-02-57;AHB1998m;2;Passive;KDE 45;1,16894519827;left;0,750692982535
2018-12-11-16-02-57;AHB1998m;2;Passive;KDE 45;1,16894519827;right;25,8707723245
2018-12-11-16-02-57;AHB1998m;2;Passive;KDE 45;1,16894519827;end of the block;60,01487475
2018-12-11-16-02-57;AHB1998m;3;Passive;NC;1,1396929095;right;15,8961675337
2018-12-11-16-02-57;AHB1998m;3;Passive;NC;1,1396929095;left;59,7149794632
2018-12-11-16-02-57;AHB1998m;3;Passive;NC;1,1396929095;end of the block;60,0147895364
2018-12-11-16-02-57;AHB1998m;4;Passive;KDE -45;1,33781128105;right;0,617224530695
2018-12-11-16-02-57;AHB1998m;4;Passive;KDE -45;1,33781128105;left;21,000206503
2018-12-11-16-02-57;AHB1998m;4;Passive;KDE -45;1,33781128105;right;35,1114761889
2018-12-11-16-02-57;AHB1998m;4;Passive;KDE -45;1,33781128105;left;43,1679445079
2018-12-11-16-02-57;AHB1998m;4;Passive;KDE -45;1,33781128105;end of the block;60,0147298247
2018-12-11-16-02-57;AHB1998m;5;Passive;KDE 45;1,07195287361;right;0,650616134792
2018-12-11-16-02-57;AHB1998m;5;Passive;KDE 45;1,07195287361;end of the block;60,0148560901
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;right;0,767368414177
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;left;12,3432957574
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;right;15,9630241375
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;left;20,2829598603
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;right;22,1010661342
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;left;25,3704714334
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;right;27,5388025125
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;left;32,4093266601
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;right;34,9447389774
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;unclear;35,3283510328
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;right;36,9463571028
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;left;40,2323009944
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;right;43,4682195239
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;unclear;45,0861633943
2018-12-11-16-02-57;AHB1998m;6;Passive;NC;1,34848964728;left;45,1028444239
