Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-04-16-01-58;BCN1998w;1;Passive;KDE -45;1,25215769844;end of the block;60,0140818439
2018-12-04-16-01-58;BCN1998w;2;Passive;KDE 45;1,40780295199;end of the block;60,0140700261
2018-12-04-16-01-58;BCN1998w;3;Passive;NC;1,22005093662;end of the block;60,0140084491
2018-12-04-16-01-58;BCN1998w;4;Passive;KDE -45;1,3667474492;end of the block;60,0140277308
2018-12-04-16-01-58;BCN1998w;5;Passive;KDE 45;1,05941412379;end of the block;60,0140034732
2018-12-04-16-01-58;BCN1998w;6;Passive;NC;1,30948047422;end of the block;60,0139770386
2018-12-04-16-01-58;BCN1998w;7;Passive;KDE -45;1,33600661397;end of the block;60,0140025402
2018-12-04-16-01-58;BCN1998w;8;Passive;KDE 45;1,19707520388;end of the block;60,0140012962
2018-12-04-16-01-58;BCN1998w;9;Passive;NC;1,24048522317;end of the block;60,0141098334
2018-12-04-16-01-58;BCN1998w;10;Passive;KDE -45;1,18567606443;end of the block;60,014012803
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;right;0,867420435094
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;left;5,62121208352
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;right;9,49089842662
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;left;11,8928445698
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;right;17,680758566
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;left;22,184219938
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;right;27,054803812
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;left;35,6620684014
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;right;39,5812974578
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;unclear;41,4326786478
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;left;41,499461357
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;right;43,4510096135
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;unclear;49,6391903811
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;left;49,6893382902
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;unclear;52,0411433661
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;right;52,0412024551
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;unclear;53,7425103126
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;left;53,7924510992
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;right;57,7789032334
2018-12-04-16-01-58;BCN1998w;11;Passive;KDE 45;1,06590447781;end of the block;60,0141250722
2018-12-04-16-01-58;BCN1998w;12;Passive;NC;1,00154368626;left;1,36784898591
2018-12-04-16-01-58;BCN1998w;12;Passive;NC;1,00154368626;right;14,4614279388
2018-12-04-16-01-58;BCN1998w;12;Passive;NC;1,00154368626;left;32,108719423
2018-12-04-16-01-58;BCN1998w;12;Passive;NC;1,00154368626;right;40,9323007892
2018-12-04-16-01-58;BCN1998w;12;Passive;NC;1,00154368626;left;55,7273008016
2018-12-04-16-01-58;BCN1998w;12;Passive;NC;1,00154368626;end of the block;60,0139810816
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;right;0,567259775188
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;left;4,90396170037
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;right;6,68868582312
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;unclear;8,77371304138
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;left;8,80704608445
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;unclear;11,0254213357
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;right;11,0421587641
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;unclear;14,3614558661
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;left;14,3947913971
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;unclear;18,0142815025
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;right;18,0309931183
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;unclear;28,4558225688
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;left;28,4892339825
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;right;39,5813080316
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;unclear;55,9108122935
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;left;55,9775838069
2018-12-04-16-01-58;BCN1998w;13;Passive;KDE -45;1,47988478378;end of the block;60,0141549276
2018-12-04-16-01-58;BCN1998w;14;Passive;KDE 45;1,3967251948;right;0,683994155786
2018-12-04-16-01-58;BCN1998w;14;Passive;KDE 45;1,3967251948;left;3,43612353708
2018-12-04-16-01-58;BCN1998w;14;Passive;KDE 45;1,3967251948;right;10,4750069041
2018-12-04-16-01-58;BCN1998w;14;Passive;KDE 45;1,3967251948;unclear;20,7664957854
2018-12-04-16-01-58;BCN1998w;14;Passive;KDE 45;1,3967251948;left;20,8498576266
2018-12-04-16-01-58;BCN1998w;14;Passive;KDE 45;1,3967251948;right;41,7829953027
2018-12-04-16-01-58;BCN1998w;14;Passive;KDE 45;1,3967251948;end of the block;60,0141110774
2018-12-04-16-01-58;BCN1998w;15;Passive;NC;1,39094557748;left;1,05090113849
2018-12-04-16-01-58;BCN1998w;15;Passive;NC;1,39094557748;right;8,30660011793
2018-12-04-16-01-58;BCN1998w;15;Passive;NC;1,39094557748;left;35,5447443747
2018-12-04-16-01-58;BCN1998w;15;Passive;NC;1,39094557748;unclear;58,1125692274
2018-12-04-16-01-58;BCN1998w;15;Passive;NC;1,39094557748;left;58,312679444
2018-12-04-16-01-58;BCN1998w;15;Passive;NC;1,39094557748;end of the block;60,0141207182
2018-12-04-16-01-58;BCN1998w;16;Speed-up;KDE -45;1,11443176379;right;0,900787998587
2018-12-04-16-01-58;BCN1998w;16;Speed-up;KDE -45;1,11443176379;unclear;10,0247054257
2018-12-04-16-01-58;BCN1998w;16;Speed-up;KDE -45;1,11443176379;left;10,0579868437
2018-12-04-16-01-58;BCN1998w;16;Speed-up;KDE -45;1,11443176379;right;15,879236682
2018-12-04-16-01-58;BCN1998w;16;Speed-up;KDE -45;1,11443176379;unclear;22,6846873632
2018-12-04-16-01-58;BCN1998w;16;Speed-up;KDE -45;1,11443176379;left;22,7179712691
2018-12-04-16-01-58;BCN1998w;16;Speed-up;KDE -45;1,11443176379;right;50,0728838049
2018-12-04-16-01-58;BCN1998w;16;Speed-up;KDE -45;1,11443176379;end of the block;60,0140348837
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;left;0,784031537359
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;right;4,93729847538
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;left;13,2271935084
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;right;18,9149681168
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;unclear;22,3176945459
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;left;22,3342932706
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;right;26,7044622776
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;unclear;30,4907186716
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;left;30,5908362899
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;right;44,6852191642
2018-12-04-16-01-58;BCN1998w;17;Speed-up;KDE 45;1,05167058217;end of the block;60,0139757947
2018-12-04-16-01-58;BCN1998w;18;Speed-up;NC;1,29292482586;left;0,750661796903
2018-12-04-16-01-58;BCN1998w;18;Speed-up;NC;1,29292482586;right;12,0428631673
2018-12-04-16-01-58;BCN1998w;18;Speed-up;NC;1,29292482586;left;26,1872829256
2018-12-04-16-01-58;BCN1998w;18;Speed-up;NC;1,29292482586;right;47,954555576
2018-12-04-16-01-58;BCN1998w;18;Speed-up;NC;1,29292482586;left;58,9464656687
2018-12-04-16-01-58;BCN1998w;18;Speed-up;NC;1,29292482586;end of the block;60,0139742397
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;right;0,733998385315
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;unclear;6,47180241382
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;left;6,48848106415
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;right;19,8490431312
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;left;34,3271550073
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;right;44,3350287732
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;left;50,0394621283
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;unclear;54,2427706152
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;right;54,2927994133
2018-12-04-16-01-58;BCN1998w;19;Speed-up;KDE -45;1,47960062201;end of the block;60,0140697151
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;right;0,617936686438
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;unclear;6,47184875204
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;left;6,48854170813
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;right;12,1263593582
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;unclear;18,5313958566
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;left;18,9150216079
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;unclear;25,8538358719
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;right;25,8704594761
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;unclear;34,527375316
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;left;34,5440912857
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;right;44,7020181696
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;left;51,1570716482
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;unclear;54,2928609903
2018-12-04-16-01-58;BCN1998w;20;Speed-up;KDE 45;1,33383794159;end of the block;60,0140550983
2018-12-04-16-01-58;BCN1998w;21;Speed-up;NC;1,15249670216;left;2,08501477847
