Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;right;7,45607593071
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;unclear;8,60695272649
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;left;8,87386244821
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;unclear;18,2985938551
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;right;18,6149276402
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;unclear;20,1161312012
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;left;20,3830440329
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;unclear;21,1503421908
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;right;21,3337428136
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;unclear;36,3123993534
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;left;36,6126564241
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;unclear;53,7763422816
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;right;54,1433391448
2018-12-04-15-59-57;BGM1997w;1;Passive;KDE -45;1,00370275966;end of the block;60,0146445701
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;left;0,817379359332
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;unclear;9,79123005183
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;right;10,0414388868
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;unclear;15,4457246837
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;left;15,6126374532
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;unclear;34,194001601
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;right;34,4777213697
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;unclear;52,4420191463
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;left;52,6588044378
2018-12-04-15-59-57;BGM1997w;2;Passive;KDE 45;1,13994075797;end of the block;60,0145963654
2018-12-04-15-59-57;BGM1997w;3;Passive;NC;1,40116580892;right;3,75306254972
2018-12-04-15-59-57;BGM1997w;3;Passive;NC;1,40116580892;left;32,5594120651
2018-12-04-15-59-57;BGM1997w;3;Passive;NC;1,40116580892;right;37,6634432793
2018-12-04-15-59-57;BGM1997w;3;Passive;NC;1,40116580892;left;54,3934941772
2018-12-04-15-59-57;BGM1997w;3;Passive;NC;1,40116580892;end of the block;60,01466012
2018-12-04-15-59-57;BGM1997w;4;Passive;KDE -45;1,04884243279;left;1,31775286755
2018-12-04-15-59-57;BGM1997w;4;Passive;KDE -45;1,04884243279;unclear;10,6586352551
2018-12-04-15-59-57;BGM1997w;4;Passive;KDE -45;1,04884243279;right;10,875372964
