Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;right;1,16775756596
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;left;10,0917356837
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;right;21,9347142959
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;left;27,6394372067
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;right;36,313273973
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;unclear;36,4132913892
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;right;39,5498630026
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;left;46,5716199279
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;unclear;47,5557556004
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;right;47,5897729358
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;unclear;48,3231017077
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;right;49,5574222723
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;left;52,726622276
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;unclear;54,2946687649
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;left;54,3279997139
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;unclear;54,461415256
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;right;54,7950503671
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;unclear;57,5639493187
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;left;57,5640174287
2018-12-13-08-46-58;BHK1997w;1;Passive;KDE -45;1,05989798579;end of the block;60,0160132985
2018-12-13-08-46-58;BHK1997w;2;Passive;KDE 45;1,29720012161;left;0,950909842974
