Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-18-17-58-18;BHW1998m;1;Passive;KDE -45;1,08212116969;right;1,61802223406
2018-12-18-17-58-18;BHW1998m;1;Passive;KDE -45;1,08212116969;unclear;27,6216154354
2018-12-18-17-58-18;BHW1998m;1;Passive;KDE -45;1,08212116969;left;27,6883546254
2018-12-18-17-58-18;BHW1998m;1;Passive;KDE -45;1,08212116969;right;52,4076747223
2018-12-18-17-58-18;BHW1998m;1;Passive;KDE -45;1,08212116969;end of the block;60,0135402798
2018-12-18-17-58-18;BHW1998m;2;Passive;KDE 45;1,31267808849;left;0,88410666154
2018-12-18-17-58-18;BHW1998m;2;Passive;KDE 45;1,31267808849;unclear;16,7131338444
2018-12-18-17-58-18;BHW1998m;2;Passive;KDE 45;1,31267808849;right;16,7465138576
2018-12-18-17-58-18;BHW1998m;2;Passive;KDE 45;1,31267808849;unclear;34,2934451909
2018-12-18-17-58-18;BHW1998m;2;Passive;KDE 45;1,31267808849;left;34,3101924201
2018-12-18-17-58-18;BHW1998m;2;Passive;KDE 45;1,31267808849;end of the block;60,0135418348
2018-12-18-17-58-18;BHW1998m;3;Passive;NC;1,06608593256;right;5,65448386683
2018-12-18-17-58-18;BHW1998m;3;Passive;NC;1,06608593256;end of the block;60,0134603549
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;right;0,717310155724
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;unclear;7,55595943047
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;left;7,62271790197
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;unclear;10,0578892912
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;right;10,0745379359
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;unclear;18,1808785337
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;left;18,2142355335
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;unclear;27,3547258497
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;right;27,388685552
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;left;49,3885356538
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;unclear;57,9785403094
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;right;57,9952520854
2018-12-18-17-58-18;BHW1998m;4;Passive;KDE -45;1,19661505189;end of the block;60,0135157115
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;left;0,884067476552
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;right;6,20494838
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;unclear;8,64011945824
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;left;8,67344255994
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;unclear;15,7623408615
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;right;15,7789916831
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;left;41,4323578448
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;unclear;54,9762706899
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;right;55,0763025044
2018-12-18-17-58-18;BHW1998m;5;Passive;KDE 45;1,06570054262;end of the block;60,0135209983
2018-12-18-17-58-18;BHW1998m;6;Passive;NC;1,21886694944;right;1,4178230126
2018-12-18-17-58-18;BHW1998m;6;Passive;NC;1,21886694944;end of the block;60,0135042048
2018-12-18-17-58-18;BHW1998m;7;Passive;KDE -45;1,12258042399;right;0,800689593618
2018-12-18-17-58-18;BHW1998m;7;Passive;KDE -45;1,12258042399;unclear;4,85388259493
2018-12-18-17-58-18;BHW1998m;7;Passive;KDE -45;1,12258042399;left;4,87055176508
2018-12-18-17-58-18;BHW1998m;7;Passive;KDE -45;1,12258042399;unclear;13,2104000694
2018-12-18-17-58-18;BHW1998m;7;Passive;KDE -45;1,12258042399;right;13,2771831093
2018-12-18-17-58-18;BHW1998m;7;Passive;KDE -45;1,12258042399;left;24,7693527977
2018-12-18-17-58-18;BHW1998m;7;Passive;KDE -45;1,12258042399;unclear;42,8167821846
2018-12-18-17-58-18;BHW1998m;7;Passive;KDE -45;1,12258042399;right;42,9502275995
2018-12-18-17-58-18;BHW1998m;7;Passive;KDE -45;1,12258042399;unclear;59,7299143497
