Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-11-29-16-16-50;BOF1999w;1;Passive;KDE -45;1,14481900308;right;2,28517347234
2018-11-29-16-16-50;BOF1999w;1;Passive;KDE -45;1,14481900308;unclear;16,4296225782
2018-11-29-16-16-50;BOF1999w;1;Passive;KDE -45;1,14481900308;right;16,6630073391
2018-11-29-16-16-50;BOF1999w;1;Passive;KDE -45;1,14481900308;unclear;17,5970728904
2018-11-29-16-16-50;BOF1999w;1;Passive;KDE -45;1,14481900308;left;17,6137619121
2018-11-29-16-16-50;BOF1999w;1;Passive;KDE -45;1,14481900308;unclear;43,8340971791
2018-11-29-16-16-50;BOF1999w;1;Passive;KDE -45;1,14481900308;right;43,8341640422
2018-11-29-16-16-50;BOF1999w;1;Passive;KDE -45;1,14481900308;end of the block;60,0133175682
2018-11-29-16-16-50;BOF1999w;2;Passive;KDE 45;1,45859942055;left;0,817393229788
2018-11-29-16-16-50;BOF1999w;2;Passive;KDE 45;1,45859942055;right;59,9300764696
2018-11-29-16-16-50;BOF1999w;2;Passive;KDE 45;1,45859942055;end of the block;60,013356753
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;right;0,683934857334
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;unclear;0,917392079121
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;right;1,63468072263
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;left;3,65300866701
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;right;4,42014823698
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;left;5,08733498428
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;right;8,40658343096
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;left;15,1618104902
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;right;18,4977286771
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;left;22,4174696714
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;right;22,7843952173
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;unclear;22,8177278561
2018-11-29-16-16-50;BOF1999w;3;Passive;NC;1,28477485708;right;23,0012427201
