Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;left;0,467106738315
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;right;4,65366251422
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;left;8,9909800447
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;unclear;16,5467736804
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;right;16,5634990361
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;left;18,7985316294
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;right;19,4663647161
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;left;28,5227450345
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;unclear;34,6108220804
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;left;34,694159949
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;unclear;42,1165540935
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;right;42,133250838
2018-12-12-12-10-57;BSB1998m;1;Passive;KDE -45;1,10288617577;end of the block;60,0138518076
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;right;0,367038849188
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;unclear;0,483755901425
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;left;0,500460109773
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;right;3,73627733097
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;unclear;10,2245935904
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;left;10,2412716756
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;right;14,4946051002
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;left;16,6630015453
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;right;19,4150613101
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;unclear;23,134563216
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;left;23,151280486
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;right;27,6381123899
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;left;28,0884409043
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;right;39,4972575343
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;left;53,0744286258
2018-12-12-12-10-57;BSB1998m;2;Passive;KDE 45;1,37949571474;end of the block;60,0131150722
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;0,583902160044
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;unclear;1,83474610928
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;1,86819526567
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;3,23592451276
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;3,28590994288
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;unclear;3,31926393632
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;4,35349367773
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;6,78856595337
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;unclear;7,88946947275
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;7,88953633561
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;8,85698065362
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;9,8242853371
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;10,9251633553
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;12,0259891272
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;12,8771287657
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;unclear;17,0799378144
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;17,0800071652
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;18,8979846912
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;21,2165345944
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;22,3173650311
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;23,11791312
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;24,2021152299
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;26,270348312
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;28,2385530006
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;unclear;29,4060914242
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;29,4227940776
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;31,34089516
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;35,760958434
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;36,5782903447
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;unclear;37,7292016854
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;37,7458816366
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;38,9635964382
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;39,8308092863
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;42,2160251927
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;47,6536628252
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;49,8886888877
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;left;52,4907348291
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;right;59,6295688714
2018-12-12-12-10-57;BSB1998m;3;Passive;NC;1,11430506981;end of the block;60,0131001447
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;left;0,266948568777
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;right;0,600534840681
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;unclear;1,66800506416
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;right;2,18509163477
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;left;2,45197147475
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;right;4,68702801429
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;unclear;18,1309314743
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;left;18,164089233
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;unclear;27,6213773936
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;right;27,6548218851
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;unclear;33,8428405582
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;left;33,8429077321
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;unclear;47,636954885
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;right;47,6535362523
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;left;50,2555336791
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;unclear;55,7931462148
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;right;55,8432106364
2018-12-12-12-10-57;BSB1998m;4;Passive;KDE -45;1,03919715285;end of the block;60,0132621705
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;left;0,500461975714
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;unclear;5,65446486854
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;right;5,70449445925
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;unclear;11,5256415958
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;left;11,5590484575
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;right;25,5531676358
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;unclear;32,2249549609
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;left;32,2416489065
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;right;36,3448207873
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;unclear;37,7960213177
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;left;37,8626661736
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;unclear;41,0651231816
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;right;41,1818987
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;unclear;44,017402692
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;left;44,0674605828
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;unclear;46,6360838019
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;right;46,6527783695
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;left;47,7703217223
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;right;54,0585370344
2018-12-12-12-10-57;BSB1998m;5;Passive;KDE 45;1,28516352492;end of the block;60,0131971736
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;0,450421189369
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;unclear;0,500411595326
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;right;0,617209815965
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;unclear;1,20094093148
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;1,217608754
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;right;1,83513826773
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;unclear;2,46860944222
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;2,46867412815
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;right;4,82042470667
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;unclear;6,32157708028
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;6,33830741179
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;unclear;7,18891463541
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;right;7,20561417891
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;8,20646691361
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;right;9,37400067236
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;9,94104499497
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;right;11,6591200785
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;14,8114629065
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;right;17,3634453592
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;20,3657762296
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;right;21,4499802055
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;23,4681697023
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;right;24,4690930317
2018-12-12-12-10-57;BSB1998m;6;Passive;NC;1,31451468365;left;26,0868644957
