Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-12-13-09-55;BÜB1996M;1;Passive;KDE -45;1,4602025113;right;0,733995286013
2018-12-12-13-09-55;BÜB1996M;1;Passive;KDE -45;1,4602025113;left;14,0442115889
2018-12-12-13-09-55;BÜB1996M;1;Passive;KDE -45;1,4602025113;right;29,8398049844
2018-12-12-13-09-55;BÜB1996M;1;Passive;KDE -45;1,4602025113;unclear;30,1066073878
2018-12-12-13-09-55;BÜB1996M;1;Passive;KDE -45;1,4602025113;right;33,826194194
2018-12-12-13-09-55;BÜB1996M;1;Passive;KDE -45;1,4602025113;left;51,606616562
2018-12-12-13-09-55;BÜB1996M;1;Passive;KDE -45;1,4602025113;unclear;56,9606532284
2018-12-12-13-09-55;BÜB1996M;1;Passive;KDE -45;1,4602025113;right;56,9607191583
2018-12-12-13-09-55;BÜB1996M;1;Passive;KDE -45;1,4602025113;end of the block;60,0130668688
2018-12-12-13-09-55;BÜB1996M;2;Passive;KDE 45;1,29166346661;left;0,767353322322
2018-12-12-13-09-55;BÜB1996M;2;Passive;KDE 45;1,29166346661;right;18,6144687497
2018-12-12-13-09-55;BÜB1996M;2;Passive;KDE 45;1,29166346661;left;33,9929790887
2018-12-12-13-09-55;BÜB1996M;2;Passive;KDE 45;1,29166346661;right;36,111319509
2018-12-12-13-09-55;BÜB1996M;2;Passive;KDE 45;1,29166346661;left;43,4002653367
2018-12-12-13-09-55;BÜB1996M;2;Passive;KDE 45;1,29166346661;end of the block;60,0131918868
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;left;1,38452426453
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;unclear;1,91833930071
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;right;1,96829052193
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;left;9,44073136151
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;right;11,5090216657
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;left;14,8949152194
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;right;19,8654706819
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;left;33,0422918474
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;right;40,531385271
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;left;45,7187471331
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;right;49,5216506605
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;left;56,8273846639
2018-12-12-13-09-55;BÜB1996M;3;Passive;NC;1,1310667868;end of the block;60,0131076085
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;right;0,617213547845
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;left;9,89103126476
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;right;11,5257003729
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;left;16,0791684251
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;right;27,3711840355
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;left;38,2796770804
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;right;42,4661756341
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;left;44,0173961612
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;right;46,3358347299
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;left;48,2706574361
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;right;54,9591934411
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;left;57,6446046181
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;right;58,8121561033
2018-12-12-13-09-55;BÜB1996M;4;Passive;KDE -45;1,38778341978;end of the block;60,0131387075
2018-12-12-13-09-55;BÜB1996M;5;Passive;KDE 45;1,00121000472;left;0,600541682463
2018-12-12-13-09-55;BÜB1996M;5;Passive;KDE 45;1,00121000472;right;21,9836686687
2018-12-12-13-09-55;BÜB1996M;5;Passive;KDE 45;1,00121000472;left;33,3924927625
2018-12-12-13-09-55;BÜB1996M;5;Passive;KDE 45;1,00121000472;end of the block;60,0131327987
2018-12-12-13-09-55;BÜB1996M;6;Passive;NC;1,26638942744;left;0,967496253347
2018-12-12-13-09-55;BÜB1996M;6;Passive;NC;1,26638942744;right;3,55278418504
2018-12-12-13-09-55;BÜB1996M;6;Passive;NC;1,26638942744;unclear;8,59003550573
