Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-04-15-54-49;CKN1999w;1;Passive;KDE -45;1,45750364507;right;2,71896165336
2018-12-04-15-54-49;CKN1999w;1;Passive;KDE -45;1,45750364507;left;3,85316368617
2018-12-04-15-54-49;CKN1999w;1;Passive;KDE -45;1,45750364507;right;15,1121880615
2018-12-04-15-54-49;CKN1999w;1;Passive;KDE -45;1,45750364507;left;32,4927565529
2018-12-04-15-54-49;CKN1999w;1;Passive;KDE -45;1,45750364507;right;57,3458742114
2018-12-04-15-54-49;CKN1999w;1;Passive;KDE -45;1,45750364507;end of the block;60,0146302642
2018-12-04-15-54-49;CKN1999w;2;Passive;KDE 45;1,47292246279;left;1,23445027116
2018-12-04-15-54-49;CKN1999w;2;Passive;KDE 45;1,47292246279;right;6,00489852456
2018-12-04-15-54-49;CKN1999w;2;Passive;KDE 45;1,47292246279;left;11,509281726
2018-12-04-15-54-49;CKN1999w;2;Passive;KDE 45;1,47292246279;right;27,0889826581
2018-12-04-15-54-49;CKN1999w;2;Passive;KDE 45;1,47292246279;left;49,8399599684
2018-12-04-15-54-49;CKN1999w;2;Passive;KDE 45;1,47292246279;end of the block;60,014658876
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;right;0,934189468499
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;left;13,2440034981
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;right;15,7126459123
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;left;24,3528452245
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;right;25,2035856167
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;left;28,6896563413
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;right;29,4736880407
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;left;30,6579544811
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;right;31,7420852644
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;left;42,951057983
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;right;45,7533402707
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;left;56,7620534928
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;right;57,4793593945
2018-12-04-15-54-49;CKN1999w;3;Passive;NC;1,15183451864;end of the block;60,0146663399
2018-12-04-15-54-49;CKN1999w;4;Passive;KDE -45;1,01736272766;left;1,56800057721
2018-12-04-15-54-49;CKN1999w;4;Passive;KDE -45;1,01736272766;right;8,49020263987
2018-12-04-15-54-49;CKN1999w;4;Passive;KDE -45;1,01736272766;left;32,5260899069
2018-12-04-15-54-49;CKN1999w;4;Passive;KDE -45;1,01736272766;right;54,5936473125
2018-12-04-15-54-49;CKN1999w;4;Passive;KDE -45;1,01736272766;end of the block;60,0146451921
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;left;3,03590001798
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;right;22,2179422029
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;left;30,5245657073
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;right;35,1615679633
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;left;42,9511170726
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;right;46,0702870322
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;left;51,2077455218
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;right;56,7121281012
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;left;59,080664092
2018-12-04-15-54-49;CKN1999w;5;Passive;KDE 45;1,09811915705;end of the block;60,0146958847
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;right;0,934176095598
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;left;8,54029908026
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;right;10,1248257635
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;left;20,5665967337
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;right;23,0852513079
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;left;23,9192080879
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;right;25,1368735029
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;left;27,2051816569
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;right;28,2393798955
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;left;29,1900584613
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;right;30,69131116
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;left;39,81527857
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;right;41,4832558845
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;left;46,0035295127
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;right;47,704892429
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;left;58,3133650012
2018-12-04-15-54-49;CKN1999w;6;Passive;NC;1,24694940858;end of the block;60,0147615052
2018-12-04-15-54-49;CKN1999w;7;Passive;KDE -45;1,23027050719;left;1,55134758408
2018-12-04-15-54-49;CKN1999w;7;Passive;KDE -45;1,23027050719;right;45,0862001618
2018-12-04-15-54-49;CKN1999w;7;Passive;KDE -45;1,23027050719;left;51,4745734511
2018-12-04-15-54-49;CKN1999w;7;Passive;KDE -45;1,23027050719;end of the block;60,0147241855
2018-12-04-15-54-49;CKN1999w;8;Passive;KDE 45;1,16710667949;left;0,867516229414
2018-12-04-15-54-49;CKN1999w;8;Passive;KDE 45;1,16710667949;right;21,0169033463
2018-12-04-15-54-49;CKN1999w;8;Passive;KDE 45;1,16710667949;left;57,2459099139
2018-12-04-15-54-49;CKN1999w;8;Passive;KDE 45;1,16710667949;end of the block;60,0148479626
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;0,483837761215
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;6,02157701951
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;6,98900374379
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;8,99061440081
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;9,80792627364
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;12,9605141787
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;14,2281286212
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;15,8964567412
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;16,7635011871
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;21,6674766083
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;23,0351660634
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;29,1403081614
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;31,1917502888
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;38,4474917726
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;42,7009129026
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;43,7517498285
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;44,5523701445
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;45,3030728437
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;46,5039288338
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;54,1767250575
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;right;57,2292183571
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;left;59,8312542101
2018-12-04-15-54-49;CKN1999w;9;Passive;NC;1,16661218627;end of the block;60,0147758111
2018-12-04-15-54-49;CKN1999w;10;Passive;KDE -45;1,07793775284;left;1,73486234309
2018-12-04-15-54-49;CKN1999w;10;Passive;KDE -45;1,07793775284;right;21,834235123
2018-12-04-15-54-49;CKN1999w;10;Passive;KDE -45;1,07793775284;left;44,3188951621
2018-12-04-15-54-49;CKN1999w;10;Passive;KDE -45;1,07793775284;end of the block;60,0147761221
2018-12-04-15-54-49;CKN1999w;11;Passive;KDE 45;1,02100331097;left;1,23444342921
2018-12-04-15-54-49;CKN1999w;11;Passive;KDE 45;1,02100331097;right;24,7699096054
2018-12-04-15-54-49;CKN1999w;11;Passive;KDE 45;1,02100331097;left;44,2855067614
2018-12-04-15-54-49;CKN1999w;11;Passive;KDE 45;1,02100331097;right;57,4293690044
2018-12-04-15-54-49;CKN1999w;11;Passive;KDE 45;1,02100331097;end of the block;60,0146927747
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;right;0,784176313296
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;left;1,90160935083
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;right;2,51879887717
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;left;3,21940295908
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;right;4,10359177448
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;left;6,12166229508
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;right;7,3726545332
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;left;10,1582110542
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;right;11,5760140546
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;left;22,7683300482
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;right;24,2528383204
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;left;30,8415031389
2018-12-04-15-54-49;CKN1999w;12;Passive;NC;1,29657266669;right;31,2917873597
