Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-12-08-09-30;GBB1997w;1;Passive;KDE -45;1,29271063244;right;1,4678753059
2018-12-12-08-09-30;GBB1997w;1;Passive;KDE -45;1,29271063244;unclear;6,58850256428
2018-12-12-08-09-30;GBB1997w;1;Passive;KDE -45;1,29271063244;left;6,73866255411
2018-12-12-08-09-30;GBB1997w;1;Passive;KDE -45;1,29271063244;right;20,1157201159
2018-12-12-08-09-30;GBB1997w;1;Passive;KDE -45;1,29271063244;unclear;40,8652282044
2018-12-12-08-09-30;GBB1997w;1;Passive;KDE -45;1,29271063244;left;40,8652941347
2018-12-12-08-09-30;GBB1997w;1;Passive;KDE -45;1,29271063244;end of the block;60,0135850627
2018-12-12-08-09-30;GBB1997w;2;Passive;KDE 45;1,4397748287;left;0,884101374678
2018-12-12-08-09-30;GBB1997w;2;Passive;KDE 45;1,4397748287;unclear;43,6007018467
2018-12-12-08-09-30;GBB1997w;2;Passive;KDE 45;1,4397748287;right;43,684141928
2018-12-12-08-09-30;GBB1997w;2;Passive;KDE 45;1,4397748287;end of the block;60,0134920761
2018-12-12-08-09-30;GBB1997w;3;Passive;NC;1,33695092388;right;1,36780368445
2018-12-12-08-09-30;GBB1997w;3;Passive;NC;1,33695092388;left;24,7360424467
2018-12-12-08-09-30;GBB1997w;3;Passive;NC;1,33695092388;unclear;31,9749290705
2018-12-12-08-09-30;GBB1997w;3;Passive;NC;1,33695092388;right;32,0250289456
2018-12-12-08-09-30;GBB1997w;3;Passive;NC;1,33695092388;left;36,7953728747
2018-12-12-08-09-30;GBB1997w;3;Passive;NC;1,33695092388;right;44,0009942414
2018-12-12-08-09-30;GBB1997w;3;Passive;NC;1,33695092388;left;47,8540200534
2018-12-12-08-09-30;GBB1997w;3;Passive;NC;1,33695092388;right;54,926203158
2018-12-12-08-09-30;GBB1997w;3;Passive;NC;1,33695092388;end of the block;60,0135359259
2018-12-12-08-09-30;GBB1997w;4;Passive;KDE -45;1,22827348822;right;0,784030375209
2018-12-12-08-09-30;GBB1997w;4;Passive;KDE -45;1,22827348822;left;15,3286759174
2018-12-12-08-09-30;GBB1997w;4;Passive;KDE -45;1,22827348822;unclear;39,2639846096
