Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-12-14-12-23;HKS1998W;1;Passive;KDE -45;1,12857084319;right;1,00091340276
2018-12-12-14-12-23;HKS1998W;1;Passive;KDE -45;1,12857084319;left;5,00410518096
2018-12-12-14-12-23;HKS1998W;1;Passive;KDE -45;1,12857084319;unclear;9,60780096341
2018-12-12-14-12-23;HKS1998W;1;Passive;KDE -45;1,12857084319;right;9,62448354802
2018-12-12-14-12-23;HKS1998W;1;Passive;KDE -45;1,12857084319;left;15,395777386
2018-12-12-14-12-23;HKS1998W;1;Passive;KDE -45;1,12857084319;right;33,6270990459
2018-12-12-14-12-23;HKS1998W;1;Passive;KDE -45;1,12857084319;left;49,5231956719
2018-12-12-14-12-23;HKS1998W;1;Passive;KDE -45;1,12857084319;end of the block;60,0149027399
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;left;3,08661185421
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;unclear;3,25338762953
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;right;3,42015189792
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;left;4,58787030987
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;right;9,92605076305
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;unclear;17,3814055207
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;left;17,3820853635
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;right;20,050231243
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;left;21,2678565264
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;right;27,8065486344
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;left;37,3140090233
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;right;40,2997690214
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;left;41,7175498663
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;right;46,9884806134
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;left;56,2459930168
2018-12-12-14-12-23;HKS1998W;2;Passive;KDE 45;1,49423236531;end of the block;60,0155688988
2018-12-12-14-12-23;HKS1998W;3;Passive;NC;1,17246560112;left;2,4691534526
2018-12-12-14-12-23;HKS1998W;3;Passive;NC;1,17246560112;right;22,2679715959
2018-12-12-14-12-23;HKS1998W;3;Passive;NC;1,17246560112;unclear;25,3870955503
2018-12-12-14-12-23;HKS1998W;3;Passive;NC;1,17246560112;left;37,0632200977
2018-12-12-14-12-23;HKS1998W;3;Passive;NC;1,17246560112;right;49,2896855151
2018-12-12-14-12-23;HKS1998W;3;Passive;NC;1,17246560112;left;52,0085191835
2018-12-12-14-12-23;HKS1998W;3;Passive;NC;1,17246560112;right;57,8131890756
2018-12-12-14-12-23;HKS1998W;3;Passive;NC;1,17246560112;end of the block;60,0149817335
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;right;0,784171666228
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;left;3,50291452298
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;unclear;7,83983263302
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;right;7,83989234474
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;left;17,7477297883
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;right;33,1601415541
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;unclear;38,3975926846
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;left;38,4142516333
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;right;42,03383571
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;unclear;49,9569298098
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;left;49,9735834715
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;right;55,9285073407
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;left;57,7798462983
2018-12-12-14-12-23;HKS1998W;4;Passive;KDE -45;1,41242696238;end of the block;60,014867286
2018-12-12-14-12-23;HKS1998W;5;Passive;KDE 45;1,00812396757;left;0,533914237172
2018-12-12-14-12-23;HKS1998W;5;Passive;KDE 45;1,00812396757;right;8,05657374756
2018-12-12-14-12-23;HKS1998W;5;Passive;KDE 45;1,00812396757;left;11,6595417934
2018-12-12-14-12-23;HKS1998W;5;Passive;KDE 45;1,00812396757;right;20,8001899579
2018-12-12-14-12-23;HKS1998W;5;Passive;KDE 45;1,00812396757;left;42,0839733424
2018-12-12-14-12-23;HKS1998W;5;Passive;KDE 45;1,00812396757;right;53,0093971324
2018-12-12-14-12-23;HKS1998W;5;Passive;KDE 45;1,00812396757;unclear;59,4645711999
2018-12-12-14-12-23;HKS1998W;5;Passive;KDE 45;1,00812396757;left;59,4812752434
2018-12-12-14-12-23;HKS1998W;5;Passive;KDE 45;1,00812396757;end of the block;60,0150227853
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;right;0,783974804141
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;unclear;9,35756499326
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;9,37423016195
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;right;11,6927996681
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;unclear;14,0612788447
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;14,0613494414
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;right;16,613495347
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;19,0486597673
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;right;21,7508553238
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;24,4530375074
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;right;26,6714421532
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;27,8056461166
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;right;31,1584186221
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;36,0790660962
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;unclear;38,3975108919
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;40,4825422515
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;right;40,7827982966
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;42,8511047757
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;right;46,587408166
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;48,0553039404
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;right;52,7757317874
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;left;58,3134445609
2018-12-12-14-12-23;HKS1998W;6;Passive;NC;1,43767911427;end of the block;60,0148399182
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;right;0,51716540987
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;left;1,93498481861
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;right;3,40278480548
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;left;9,52445739304
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;right;16,9970728816
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;left;22,5848732168
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;right;29,5404831487
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;left;33,6437499086
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;right;34,5612040496
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;left;38,7645828001
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;unclear;46,2204958001
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;right;46,2371976666
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;unclear;49,9568253143
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;left;49,9902240714
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;right;55,1610789038
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;left;59,347709138
2018-12-12-14-12-23;HKS1998W;7;Passive;KDE -45;1,19446157386;end of the block;60,0149608966
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;right;0,400517936998
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;unclear;0,500471629313
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;left;0,567238354583
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;unclear;10,1249511344
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;right;10,1415671653
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;unclear;19,3823214114
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;left;19,3990332299
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;right;29,040089269
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;left;36,6795837844
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;right;42,8177999402
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;left;51,7416662494
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;unclear;59,948274098
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;right;59,9483440726
2018-12-12-14-12-23;HKS1998W;8;Passive;KDE 45;1,20180222072;end of the block;60,0149304187
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;right;0,533926055117
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;left;7,50620115573
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;unclear;12,743696759
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;right;12,7437648677
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;left;21,9844908129
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;right;24,4864832252
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;left;30,4246486261
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;right;33,2769516792
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;left;38,981454534
2018-12-12-14-12-23;HKS1998W;9;Passive;NC;1,18808678562;right;40,3492025531
