Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-11-29-16-16-28;HSE1999m;1;Passive;KDE -45;1,43528122175;left;4,42032021566
2018-11-29-16-16-28;HSE1999m;1;Passive;KDE -45;1,43528122175;right;38,0138384641
2018-11-29-16-16-28;HSE1999m;1;Passive;KDE -45;1,43528122175;left;54,6771884441
2018-11-29-16-16-28;HSE1999m;1;Passive;KDE -45;1,43528122175;end of the block;60,014792605
2018-11-29-16-16-28;HSE1999m;2;Passive;KDE 45;1,28387588876;left;1,41792677746
2018-11-29-16-16-28;HSE1999m;2;Passive;KDE 45;1,28387588876;right;16,1463835012
2018-11-29-16-16-28;HSE1999m;2;Passive;KDE 45;1,28387588876;left;38,1972580578
2018-11-29-16-16-28;HSE1999m;2;Passive;KDE 45;1,28387588876;right;50,8074666191
2018-11-29-16-16-28;HSE1999m;2;Passive;KDE 45;1,28387588876;end of the block;60,0147077026
2018-11-29-16-16-28;HSE1999m;3;Passive;NC;1,35351280305;right;0,83414493363
2018-11-29-16-16-28;HSE1999m;3;Passive;NC;1,35351280305;left;18,4481678815
2018-11-29-16-16-28;HSE1999m;3;Passive;NC;1,35351280305;right;42,5508397249
2018-11-29-16-16-28;HSE1999m;3;Passive;NC;1,35351280305;left;57,0958093684
2018-11-29-16-16-28;HSE1999m;3;Passive;NC;1,35351280305;end of the block;60,0148168628
2018-11-29-16-16-28;HSE1999m;4;Passive;KDE -45;1,05087395576;right;0,817416679055
2018-11-29-16-16-28;HSE1999m;4;Passive;KDE -45;1,05087395576;left;17,6975584816
2018-11-29-16-16-28;HSE1999m;4;Passive;KDE -45;1,05087395576;right;27,5388401901
2018-11-29-16-16-28;HSE1999m;4;Passive;KDE -45;1,05087395576;left;27,7889650557
2018-11-29-16-16-28;HSE1999m;4;Passive;KDE -45;1,05087395576;right;44,6190831913
2018-11-29-16-16-28;HSE1999m;4;Passive;KDE -45;1,05087395576;end of the block;60,014787318
2018-11-29-16-16-28;HSE1999m;5;Passive;KDE 45;1,18689495314;left;0,86743070505
2018-11-29-16-16-28;HSE1999m;5;Passive;KDE 45;1,18689495314;right;7,58944884368
2018-11-29-16-16-28;HSE1999m;5;Passive;KDE 45;1,18689495314;left;40,5658341673
2018-11-29-16-16-28;HSE1999m;5;Passive;KDE 45;1,18689495314;end of the block;60,0147384914
2018-11-29-16-16-28;HSE1999m;6;Passive;NC;1,08454496871;right;0,800779546802
2018-11-29-16-16-28;HSE1999m;6;Passive;NC;1,08454496871;unclear;5,00412600631
2018-11-29-16-16-28;HSE1999m;6;Passive;NC;1,08454496871;left;5,02080201327
2018-11-29-16-16-28;HSE1999m;6;Passive;NC;1,08454496871;right;11,4259486518
2018-11-29-16-16-28;HSE1999m;6;Passive;NC;1,08454496871;left;24,3696490516
2018-11-29-16-16-28;HSE1999m;6;Passive;NC;1,08454496871;right;47,4046362913
2018-11-29-16-16-28;HSE1999m;6;Passive;NC;1,08454496871;end of the block;60,0147098796
2018-11-29-16-16-28;HSE1999m;7;Passive;KDE -45;1,24898404112;right;0,834166703468
2018-11-29-16-16-28;HSE1999m;7;Passive;KDE -45;1,24898404112;left;3,51956051051
2018-11-29-16-16-28;HSE1999m;7;Passive;KDE -45;1,24898404112;end of the block;60,0148019349
2018-11-29-16-16-28;HSE1999m;8;Passive;KDE 45;1,20523097407;left;0,950871695416
2018-11-29-16-16-28;HSE1999m;8;Passive;KDE 45;1,20523097407;end of the block;60,0146996167
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;right;0,900854870441
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;unclear;2,1352105983
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;left;2,16851036462
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;right;3,45297683876
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;unclear;7,18928096713
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;left;7,20591965437
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;right;14,4449586964
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;left;34,7113285261
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;right;38,7143881214
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;left;46,7375515401
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;right;49,4563505417
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;left;53,5096378183
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;right;55,3945052307
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;left;57,4960717882
2018-11-29-16-16-28;HSE1999m;9;Passive;NC;1,18293728966;end of the block;60,0147266735
2018-11-29-16-16-28;HSE1999m;10;Passive;KDE -45;1,01940330842;left;0,750711407209
2018-11-29-16-16-28;HSE1999m;10;Passive;KDE -45;1,01940330842;right;11,8428873896
2018-11-29-16-16-28;HSE1999m;10;Passive;KDE -45;1,01940330842;end of the block;60,014792605
