Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;right;1,30121796365
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;left;5,5879287776
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;unclear;16,9303388112
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;right;17,1972968627
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;unclear;31,2419195577
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;left;31,4086278464
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;unclear;46,1538702682
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;right;46,3206360916
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;unclear;55,427899494
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;left;55,5279620358
2018-12-11-14-11-23;KFS1999w;1;Passive;KDE -45;1,42628967775;end of the block;60,0150271393
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;left;1,00087514994
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;unclear;7,12242271608
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;right;7,18919908231
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;unclear;16,3472155833
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;left;16,4799877093
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;unclear;20,1162515717
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;right;20,3164192621
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;left;33,5604253092
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;unclear;47,5715979324
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;right;47,8050972042
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;unclear;50,3404047149
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;left;50,4739384764
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;unclear;53,5597115675
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;right;53,6097733163
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;unclear;56,6621734632
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;left;56,7456233951
2018-12-11-14-11-23;KFS1999w;2;Passive;KDE 45;1,39570866018;unclear;59,3143971495
