Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;right;0,750657979236
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;unclear;8,55680204209
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;left;8,55685957543
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;right;22,8846357067
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;unclear;24,2689232589
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;left;24,2856492886
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;unclear;24,6025357585
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;right;24,635949255
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;left;29,9234156641
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;unclear;31,6414068363
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;right;31,6580448555
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;unclear;36,9121860896
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;left;36,9122430009
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;unclear;36,9788868201
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;right;37,0289153224
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;unclear;39,5975483956
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;left;39,5976137038
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;right;47,6204774521
2018-12-12-15-49-30;KKK1998w;1;Passive;KDE -45;1,22961663013;end of the block;60,0134901682
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;right;0,934754396402
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;unclear;3,16991211705
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;left;3,1864863831
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;right;6,08878700132
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;unclear;10,8758439907
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;left;10,9091725866
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;right;20,6501208045
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;unclear;20,7502197929
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;right;21,9178483029
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;unclear;28,0892917397
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;left;28,1059449975
2018-12-12-15-49-30;KKK1998w;2;Passive;KDE 45;1,04660424379;unclear;32,7429027963
