Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;right;1,70139575443
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;unclear;1,8848282573
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;left;2,91901290515
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;unclear;3,08578007344
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;right;5,65446891141
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;unclear;5,88793473687
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;right;14,0275726885
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;unclear;14,2110216738
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;left;16,2459520758
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;unclear;16,4627992152
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;right;37,1288307365
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;unclear;37,3123133088
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;left;55,5430626362
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;unclear;55,6764602615
2018-11-29-16-18-20;LPC1997w;1;Passive;KDE -45;1,08493334234;end of the block;60,0134095798
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;right;0,967536993043
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;unclear;1,13430229539
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;left;4,43690338503
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;unclear;4,63700682032
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;right;9,50745738581
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;unclear;9,69090792611
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;left;27,48801802
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;unclear;27,7048409022
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;left;38,4798853193
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;unclear;51,8235311862
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;right;52,1404835335
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;unclear;59,7463711349
2018-11-29-16-18-20;LPC1997w;2;Passive;KDE 45;1,26942606304;end of the block;60,013184423
2018-11-29-16-18-20;LPC1997w;3;Passive;NC;1,05257742019;right;2,15176407549
2018-11-29-16-18-20;LPC1997w;3;Passive;NC;1,05257742019;unclear;8,08964878961
2018-11-29-16-18-20;LPC1997w;3;Passive;NC;1,05257742019;left;8,0897240492
2018-11-29-16-18-20;LPC1997w;3;Passive;NC;1,05257742019;unclear;21,0830393182
2018-11-29-16-18-20;LPC1997w;3;Passive;NC;1,05257742019;right;21,199831319
2018-11-29-16-18-20;LPC1997w;3;Passive;NC;1,05257742019;unclear;42,066046511
2018-11-29-16-18-20;LPC1997w;3;Passive;NC;1,05257742019;left;42,299497409
2018-11-29-16-18-20;LPC1997w;3;Passive;NC;1,05257742019;end of the block;60,0131458602
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;right;0,70061579139
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;left;3,86974741699
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;unclear;7,10554069196
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;right;7,12221908813
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;left;12,2095538008
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;unclear;29,0225321618
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;right;29,2059917208
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;unclear;43,617116519
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;left;43,6338748396
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;unclear;47,0372062271
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;right;47,2033022789
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;unclear;48,4709200983
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;left;48,5042986599
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;unclear;58,4119532756
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;right;58,4786426031
2018-11-29-16-18-20;LPC1997w;4;Passive;KDE -45;1,17846344205;end of the block;60,0131956186
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;right;0,800711669621
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;unclear;3,86966531562
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;left;3,90346060394
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;unclear;15,145092095
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;right;15,1951599375
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;unclear;19,965506539
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;left;20,1322771282
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;unclear;27,7715314736
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;right;27,955040169
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;unclear;30,9740155377
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;left;31,140844904
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;unclear;50,2389202799
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;right;50,4057169922
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;unclear;57,1943299051
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;left;57,3778143433
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;right;59,0457519226
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;unclear;59,9797875129
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;left;59,9798612176
2018-11-29-16-18-20;LPC1997w;5;Passive;KDE 45;1,05472410482;end of the block;60,0131514581
2018-11-29-16-18-20;LPC1997w;6;Passive;NC;1,20896258962;right;1,50125779924
2018-11-29-16-18-20;LPC1997w;6;Passive;NC;1,20896258962;unclear;10,8418018514
2018-11-29-16-18-20;LPC1997w;6;Passive;NC;1,20896258962;left;10,8917978552
2018-11-29-16-18-20;LPC1997w;6;Passive;NC;1,20896258962;unclear;13,8607367914
