Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;right;1,25111336133
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;left;23,1349991043
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;unclear;41,2825773257
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;right;41,3660001219
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;unclear;42,7838803939
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;left;42,8172190349
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;unclear;44,5852769471
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;right;44,7354190095
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;left;58,6296646108
2018-12-13-12-38-15;MAC1990m;1;Passive;KDE -45;1,03391373169;end of the block;60,0142345423
2018-12-13-12-38-15;MAC1990m;2;Passive;KDE 45;1,25256753633;right;0,617215489531
2018-12-13-12-38-15;MAC1990m;2;Passive;KDE 45;1,25256753633;left;24,6862047067
2018-12-13-12-38-15;MAC1990m;2;Passive;KDE 45;1,25256753633;right;49,2221672107
2018-12-13-12-38-15;MAC1990m;2;Passive;KDE 45;1,25256753633;left;59,997376759
2018-12-13-12-38-15;MAC1990m;2;Passive;KDE 45;1,25256753633;end of the block;60,014133158
2018-12-13-12-38-15;MAC1990m;3;Passive;NC;1,23836426462;right;1,70145340303
2018-12-13-12-38-15;MAC1990m;3;Passive;NC;1,23836426462;end of the block;60,0139322554
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;right;0,500436636679
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;unclear;3,50275696877
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;left;3,56953408005
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;unclear;9,45806235321
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;right;9,49083249572
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;left;12,5938762639
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;right;17,3971055093
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;unclear;31,5249408488
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;left;31,5415731609
2018-12-13-12-38-15;MAC1990m;4;Passive;KDE -45;1,13967369753;unclear;37,2794480962
