Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-11-14-08-20;MDR1997w;1;Passive;KDE -45;1,24576418851;left;1,38455842472
2018-12-11-14-08-20;MDR1997w;1;Passive;KDE -45;1,24576418851;right;4,08666958172
2018-12-11-14-08-20;MDR1997w;1;Passive;KDE -45;1,24576418851;left;14,7286573609
2018-12-11-14-08-20;MDR1997w;1;Passive;KDE -45;1,24576418851;right;44,7354118566
2018-12-11-14-08-20;MDR1997w;1;Passive;KDE -45;1,24576418851;left;52,0912104166
2018-12-11-14-08-20;MDR1997w;1;Passive;KDE -45;1,24576418851;right;59,530417778
2018-12-11-14-08-20;MDR1997w;1;Passive;KDE -45;1,24576418851;end of the block;60,014073758
2018-12-11-14-08-20;MDR1997w;2;Passive;KDE 45;1,13898497891;right;0,834134352235
2018-12-11-14-08-20;MDR1997w;2;Passive;KDE 45;1,13898497891;unclear;16,8466960536
2018-12-11-14-08-20;MDR1997w;2;Passive;KDE 45;1,13898497891;left;16,8634179322
2018-12-11-14-08-20;MDR1997w;2;Passive;KDE 45;1,13898497891;unclear;27,1715269968
2018-12-11-14-08-20;MDR1997w;2;Passive;KDE 45;1,13898497891;left;30,5909180815
2018-12-11-14-08-20;MDR1997w;2;Passive;KDE 45;1,13898497891;unclear;50,4733042076
2018-12-11-14-08-20;MDR1997w;2;Passive;KDE 45;1,13898497891;right;50,4900705585
2018-12-11-14-08-20;MDR1997w;2;Passive;KDE 45;1,13898497891;end of the block;60,0140793559
2018-12-11-14-08-20;MDR1997w;3;Passive;NC;1,11378678087;left;34,4273653019
2018-12-11-14-08-20;MDR1997w;3;Passive;NC;1,11378678087;unclear;36,7791812627
2018-12-11-14-08-20;MDR1997w;3;Passive;NC;1,11378678087;right;37,1294627752
2018-12-11-14-08-20;MDR1997w;3;Passive;NC;1,11378678087;unclear;42,0166783393
2018-12-11-14-08-20;MDR1997w;3;Passive;NC;1,11378678087;left;42,1834915882
2018-12-11-14-08-20;MDR1997w;3;Passive;NC;1,11378678087;unclear;52,2246377533
2018-12-11-14-08-20;MDR1997w;3;Passive;NC;1,11378678087;right;52,5749516092
2018-12-11-14-08-20;MDR1997w;3;Passive;NC;1,11378678087;unclear;53,4756537732
2018-12-11-14-08-20;MDR1997w;3;Passive;NC;1,11378678087;left;53,5924167654
