Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;left;3,3026083203
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;unclear;8,07288568447
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;right;8,15628090445
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;unclear;27,7045546711
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;left;27,8047022039
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;unclear;38,5128755338
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;right;38,612987303
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;unclear;49,8715245513
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;left;50,0050467166
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;unclear;57,4607585749
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;right;57,5274770522
2018-12-12-15-51-08;MSW1998w;1;Passive;KDE -45;1,19264047353;end of the block;60,0127234606
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;left;0,65058049059
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;unclear;9,67410146177
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;right;9,80753344056
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;unclear;24,6356064083
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;left;24,6856608935
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;unclear;32,1080435234
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;right;32,1914213281
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;unclear;34,9935277134
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;left;35,0269060778
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;unclear;44,2172507647
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;right;44,2506493434
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;unclear;49,8220879997
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;left;49,8549560325
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;unclear;56,0429950528
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;right;56,1097483608
2018-12-12-15-51-08;MSW1998w;2;Passive;KDE 45;1,0020544488;end of the block;60,0127016914
2018-12-12-15-51-08;MSW1998w;3;Passive;NC;1,20393688831;right;2,1016878574
2018-12-12-15-51-08;MSW1998w;3;Passive;NC;1,20393688831;unclear;50,8556843669
2018-12-12-15-51-08;MSW1998w;3;Passive;NC;1,20393688831;left;50,9724694578
2018-12-12-15-51-08;MSW1998w;3;Passive;NC;1,20393688831;end of the block;60,0126951607
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;right;1,43448971189
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;7,47245795128
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;left;7,55588862393
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;16,2124861144
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;right;16,3125935297
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;23,0177418773
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;left;23,1010528195
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;27,9888865254
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;left;28,4885954404
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;32,0746747996
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;right;32,1080158455
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;33,7425456126
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;left;33,7759653385
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;38,5462193785
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;right;38,5796614956
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;47,1195183663
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;left;47,1695461065
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;52,556968997
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;right;52,6237527818
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;unclear;58,7450630622
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;left;58,8952246517
2018-12-12-15-51-08;MSW1998w;4;Passive;KDE -45;1,23243857219;end of the block;60,0127271924
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;left;0,850748362025
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;unclear;11,2420041822
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;right;11,2920577343
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;unclear;16,4626633777
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;left;16,4793889455
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;unclear;21,8000918037
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;right;21,8334636374
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;unclear;28,0049117478
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;left;28,0382136091
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;right;35,4439605468
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;unclear;37,2119051884
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;right;37,3287080057
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;unclear;48,4538546366
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;left;48,4705547034
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;unclear;55,392497907
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;right;55,3932309063
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;left;59,6791394707
2018-12-12-15-51-08;MSW1998w;5;Passive;KDE 45;1,19214872081;end of the block;60,0127315463
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;right;0,817353204236
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;unclear;9,19049178431
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;left;9,22379426762
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;unclear;12,9433594066
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;right;13,0267113992
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;unclear;24,035157528
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;left;24,0684920431
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;unclear;29,3725573431
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;right;29,4059151823
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;unclear;35,6440351218
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;left;35,6441004293
2018-12-12-15-51-08;MSW1998w;6;Passive;NC;1,4868481569;unclear;39,1634047113
