Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-10-09-04-10;NWM1999w;1;Passive;KDE -45;1,11077613758;left;1,75151097286
2018-12-10-09-04-10;NWM1999w;1;Passive;KDE -45;1,11077613758;unclear;9,80784940839
2018-12-10-09-04-10;NWM1999w;1;Passive;KDE -45;1,11077613758;right;9,80792809032
2018-12-10-09-04-10;NWM1999w;1;Passive;KDE -45;1,11077613758;left;32,4925945691
2018-12-10-09-04-10;NWM1999w;1;Passive;KDE -45;1,11077613758;right;47,471003378
2018-12-10-09-04-10;NWM1999w;1;Passive;KDE -45;1,11077613758;left;53,4424710727
2018-12-10-09-04-10;NWM1999w;1;Passive;KDE -45;1,11077613758;right;55,7275814047
2018-12-10-09-04-10;NWM1999w;1;Passive;KDE -45;1,11077613758;end of the block;60,0143160675
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;left;0,850770865172
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;right;7,47267342523
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;left;14,2114329502
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;right;24,1525387516
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;left;30,7912098917
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;unclear;30,9913023818
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;left;35,9952706876
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;right;51,424221842
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;left;54,9936525767
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;right;57,3288543725
2018-12-10-09-04-10;NWM1999w;2;Passive;KDE 45;1,06452372787;end of the block;60,014277815
2018-12-10-09-04-10;NWM1999w;3;Passive;NC;1,43920089643;right;20,6332234274
2018-12-10-09-04-10;NWM1999w;3;Passive;NC;1,43920089643;end of the block;60,0142401845
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;left;0,800700549032
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;right;18,6147736044
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;left;26,821275717
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;right;30,2240388521
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;unclear;39,5146768225
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;left;39,5313928442
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;right;45,1030465766
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;unclear;48,2215900715
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;left;48,2716317761
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;right;50,3732328444
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;unclear;51,8244301469
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;left;51,891196892
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;right;56,661665233
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;unclear;58,3296551866
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;left;58,4129858764
2018-12-10-09-04-10;NWM1999w;4;Passive;KDE -45;1,40766655186;end of the block;60,0142992737
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;right;0,667330331602
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;unclear;13,5775722925
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;left;13,5942015464
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;right;14,9786737773
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;unclear;20,849980314
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;left;20,866594951
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;right;26,0040525856
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;left;32,6092273062
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;right;34,3606437363
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;left;36,3288742762
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;unclear;37,3796461988
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;left;39,9984210746
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;right;41,4997132619
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;left;45,369382095
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;unclear;53,8594171691
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;right;53,8594896311
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;left;59,9977088943
2018-12-10-09-04-10;NWM1999w;5;Passive;KDE 45;1,1681763544;end of the block;60,0143303733
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;0,583863114598
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;left;3,40278179481
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;4,93736856542
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;left;11,5926425247
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;13,8777463257
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;left;17,8475187826
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;22,5345671779
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;unclear;24,8363384853
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;left;24,8364118803
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;27,3217017812
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;left;29,2398887506
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;30,7744369577
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;left;38,0135040576
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;39,2978350342
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;left;40,9992268646
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;41,099280107
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;unclear;41,1493159026
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;41,5496171953
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;left;42,4837420751
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;46,5202420915
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;left;51,5575693567
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;right;53,2589114278
2018-12-10-09-04-10;NWM1999w;6;Passive;NC;1,34235313275;end of the block;60,0143372152
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;left;0,683979800204
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;right;17,2471427265
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;left;24,9871375267
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;right;29,0731773005
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;left;34,8277067982
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;right;43,367770204
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;left;46,1199862042
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;right;53,175644492
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;left;55,9277563087
2018-12-10-09-04-10;NWM1999w;7;Passive;KDE -45;1,45948396646;end of the block;60,0144047013
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;left;0,683971092323
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;right;6,33850394871
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;unclear;10,0914784676
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;left;10,1247882896
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;right;16,6799664
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;left;23,78569687
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;right;28,1223796275
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;unclear;32,3757991813
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;right;33,5600311991
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;unclear;38,6139951821
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;left;38,6813378913
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;unclear;45,0857517918
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;right;46,7037864977
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;unclear;50,7569596184
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;left;52,6418818602
2018-12-10-09-04-10;NWM1999w;8;Passive;KDE 45;1,25734904372;end of the block;60,0143742237
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;left;0,567245678558
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;right;2,26858743863
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;left;3,96995470036
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;unclear;15,0619960703
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;right;15,112097797
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;left;27,9889556078
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;right;30,7245227615
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;left;34,3773236825
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;right;40,9158215357
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;left;43,3177543121
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;right;45,1029041405
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;left;47,2208853551
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;right;48,2717042381
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;left;50,9571528712
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;right;54,1930288436
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;left;59,8808258057
2018-12-10-09-04-10;NWM1999w;9;Passive;NC;1,44166760485;end of the block;60,0142386295
2018-12-10-09-04-10;NWM1999w;10;Passive;KDE -45;1,02394563806;left;0,583864047585
2018-12-10-09-04-10;NWM1999w;10;Passive;KDE -45;1,02394563806;unclear;8,42338246444
2018-12-10-09-04-10;NWM1999w;10;Passive;KDE -45;1,02394563806;right;8,60687337932
2018-12-10-09-04-10;NWM1999w;10;Passive;KDE -45;1,02394563806;left;24,1358728002
2018-12-10-09-04-10;NWM1999w;10;Passive;KDE -45;1,02394563806;right;28,539318882
2018-12-10-09-04-10;NWM1999w;10;Passive;KDE -45;1,02394563806;left;41,9165837863
2018-12-10-09-04-10;NWM1999w;10;Passive;KDE -45;1,02394563806;right;42,4169532493
2018-12-10-09-04-10;NWM1999w;10;Passive;KDE -45;1,02394563806;left;56,8617710959
2018-12-10-09-04-10;NWM1999w;10;Passive;KDE -45;1,02394563806;end of the block;60,0141779854
2018-12-10-09-04-10;NWM1999w;11;Passive;KDE 45;1,1526377761;right;0,650582588343
2018-12-10-09-04-10;NWM1999w;11;Passive;KDE 45;1,1526377761;left;7,10570465729
2018-12-10-09-04-10;NWM1999w;11;Passive;KDE 45;1,1526377761;right;13,677554006
2018-12-10-09-04-10;NWM1999w;11;Passive;KDE 45;1,1526377761;left;16,546568815
2018-12-10-09-04-10;NWM1999w;11;Passive;KDE 45;1,1526377761;right;18,4646581317
