Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-13-08-43-13;OFR1994w;1;Passive;KDE -45;1,24325612533;right;1,05092430907
2018-12-13-08-43-13;OFR1994w;1;Passive;KDE -45;1,24325612533;unclear;1,28446259521
2018-12-13-08-43-13;OFR1994w;1;Passive;KDE -45;1,24325612533;right;1,41788758767
2018-12-13-08-43-13;OFR1994w;1;Passive;KDE -45;1,24325612533;left;6,08812835928
2018-12-13-08-43-13;OFR1994w;1;Passive;KDE -45;1,24325612533;right;12,1762016733
2018-12-13-08-43-13;OFR1994w;1;Passive;KDE -45;1,24325612533;left;47,8537911397
2018-12-13-08-43-13;OFR1994w;1;Passive;KDE -45;1,24325612533;right;54,6590152749
2018-12-13-08-43-13;OFR1994w;1;Passive;KDE -45;1,24325612533;unclear;54,8091600252
2018-12-13-08-43-13;OFR1994w;1;Passive;KDE -45;1,24325612533;end of the block;60,0131869109
2018-12-13-08-43-13;OFR1994w;2;Passive;KDE 45;1,1992370766;right;0,817380736095
2018-12-13-08-43-13;OFR1994w;2;Passive;KDE 45;1,1992370766;left;9,72424450411
2018-12-13-08-43-13;OFR1994w;2;Passive;KDE 45;1,1992370766;right;32,174931279
2018-12-13-08-43-13;OFR1994w;2;Passive;KDE 45;1,1992370766;left;39,1136880092
2018-12-13-08-43-13;OFR1994w;2;Passive;KDE 45;1,1992370766;right;41,4655191341
2018-12-13-08-43-13;OFR1994w;2;Passive;KDE 45;1,1992370766;left;47,1365579062
2018-12-13-08-43-13;OFR1994w;2;Passive;KDE 45;1,1992370766;end of the block;60,0132503529
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;right;1,23440594837
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;unclear;1,40114574953
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;right;3,13588741165
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;left;7,75613311245
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;right;12,2430060671
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;left;19,5819398129
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;right;21,3666466907
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;left;35,7777500306
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;right;43,1668436718
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;left;50,0889288477
2018-12-13-08-43-13;OFR1994w;3;Passive;NC;1,16429367503;end of the block;60,013310063
2018-12-13-08-43-13;OFR1994w;4;Passive;KDE -45;1,17003603479;right;0,784001863452
2018-12-13-08-43-13;OFR1994w;4;Passive;KDE -45;1,17003603479;left;17,1299820217
2018-12-13-08-43-13;OFR1994w;4;Passive;KDE -45;1,17003603479;end of the block;60,0132559507
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;left;0,70068078831
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;unclear;14,8281991468
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;right;14,8282796933
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;unclear;25,4197326916
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;left;25,4198116831
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;unclear;30,8073018597
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;right;30,8073690335
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;unclear;39,2305024013
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;left;39,2305689532
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;unclear;49,6385148111
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;right;49,6385944245
2018-12-13-08-43-13;OFR1994w;5;Passive;KDE 45;1,07953230274;end of the block;60,0131719834
2018-12-13-08-43-13;OFR1994w;6;Passive;NC;1,40777438977;right;0,784032962457
2018-12-13-08-43-13;OFR1994w;6;Passive;NC;1,40777438977;left;2,95234761721
2018-12-13-08-43-13;OFR1994w;6;Passive;NC;1,40777438977;right;5,18738176547
2018-12-13-08-43-13;OFR1994w;6;Passive;NC;1,40777438977;left;13,4271379866
2018-12-13-08-43-13;OFR1994w;6;Passive;NC;1,40777438977;right;23,5182882361
2018-12-13-08-43-13;OFR1994w;6;Passive;NC;1,40777438977;left;33,7094752758
2018-12-13-08-43-13;OFR1994w;6;Passive;NC;1,40777438977;unclear;33,7761851286
2018-12-13-08-43-13;OFR1994w;6;Passive;NC;1,40777438977;left;33,8763058861
