Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-11-14-04-15;PHS1999w;1;Passive;KDE -45;1,21784580054;right;1,40113051102
2018-12-11-14-04-15;PHS1999w;1;Passive;KDE -45;1,21784580054;left;6,55516823473
2018-12-11-14-04-15;PHS1999w;1;Passive;KDE -45;1,21784580054;unclear;25,9534034284
2018-12-11-14-04-15;PHS1999w;1;Passive;KDE -45;1,21784580054;right;25,9700849345
2018-12-11-14-04-15;PHS1999w;1;Passive;KDE -45;1,21784580054;unclear;40,5646954148
2018-12-11-14-04-15;PHS1999w;1;Passive;KDE -45;1,21784580054;left;40,965070531
2018-12-11-14-04-15;PHS1999w;1;Passive;KDE -45;1,21784580054;end of the block;60,0130817963
2018-12-11-14-04-15;PHS1999w;2;Passive;KDE 45;1,22601378195;left;1,03417438518
2018-12-11-14-04-15;PHS1999w;2;Passive;KDE 45;1,22601378195;unclear;8,03964376712
2018-12-11-14-04-15;PHS1999w;2;Passive;KDE 45;1,22601378195;right;8,03971249592
2018-12-11-14-04-15;PHS1999w;2;Passive;KDE 45;1,22601378195;unclear;41,7496247128
2018-12-11-14-04-15;PHS1999w;2;Passive;KDE 45;1,22601378195;left;41,7990668433
2018-12-11-14-04-15;PHS1999w;2;Passive;KDE 45;1,22601378195;end of the block;60,0132114791
2018-12-11-14-04-15;PHS1999w;3;Passive;NC;1,32080967332;right;2,01834965668
2018-12-11-14-04-15;PHS1999w;3;Passive;NC;1,32080967332;end of the block;60,013185667
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;right;0,834097695035
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;left;14,9449591157
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;unclear;38,0794747503
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;right;38,1129018264
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;unclear;43,5004915198
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;left;43,5005515408
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;right;45,0182078452
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;left;47,1032443415
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;right;49,2047614442
2018-12-11-14-04-15;PHS1999w;4;Passive;KDE -45;1,06836185182;end of the block;60,0131471042
2018-12-11-14-04-15;PHS1999w;5;Passive;KDE 45;1,29994694887;right;1,71804989338
2018-12-11-14-04-15;PHS1999w;5;Passive;KDE 45;1,29994694887;unclear;20,999686833
2018-12-11-14-04-15;PHS1999w;5;Passive;KDE 45;1,29994694887;left;21,0664517311
2018-12-11-14-04-15;PHS1999w;5;Passive;KDE 45;1,29994694887;end of the block;60,0132189429
2018-12-11-14-04-15;PHS1999w;6;Passive;NC;1,20721007709;right;1,05086180007
2018-12-11-14-04-15;PHS1999w;6;Passive;NC;1,20721007709;unclear;50,0220336448
2018-12-11-14-04-15;PHS1999w;6;Passive;NC;1,20721007709;left;50,0553957239
2018-12-11-14-04-15;PHS1999w;6;Passive;NC;1,20721007709;right;52,6574152311
2018-12-11-14-04-15;PHS1999w;6;Passive;NC;1,20721007709;end of the block;60,0130777534
2018-12-11-14-04-15;PHS1999w;7;Passive;KDE -45;1,07794302742;right;0,817407481239
2018-12-11-14-04-15;PHS1999w;7;Passive;KDE -45;1,07794302742;unclear;9,92442475394
2018-12-11-14-04-15;PHS1999w;7;Passive;KDE -45;1,07794302742;left;9,92449379373
2018-12-11-14-04-15;PHS1999w;7;Passive;KDE -45;1,07794302742;unclear;25,8366869982
2018-12-11-14-04-15;PHS1999w;7;Passive;KDE -45;1,07794302742;right;25,8534499836
2018-12-11-14-04-15;PHS1999w;7;Passive;KDE -45;1,07794302742;unclear;50,4057107724
2018-12-11-14-04-15;PHS1999w;7;Passive;KDE -45;1,07794302742;end of the block;60,0131237799
2018-12-11-14-04-15;PHS1999w;8;Passive;KDE 45;1,28592063281;left;0,834058821279
2018-12-11-14-04-15;PHS1999w;8;Passive;KDE 45;1,28592063281;unclear;14,8448937145
2018-12-11-14-04-15;PHS1999w;8;Passive;KDE 45;1,28592063281;right;14,8782545497
2018-12-11-14-04-15;PHS1999w;8;Passive;KDE 45;1,28592063281;left;32,7086769644
2018-12-11-14-04-15;PHS1999w;8;Passive;KDE 45;1,28592063281;right;41,9491584143
2018-12-11-14-04-15;PHS1999w;8;Passive;KDE 45;1,28592063281;end of the block;60,0131150722
2018-12-11-14-04-15;PHS1999w;9;Passive;NC;1,38407551707;right;0,900801950032
2018-12-11-14-04-15;PHS1999w;9;Passive;NC;1,38407551707;unclear;43,5170893695
2018-12-11-14-04-15;PHS1999w;9;Passive;NC;1,38407551707;left;43,5171487686
2018-12-11-14-04-15;PHS1999w;9;Passive;NC;1,38407551707;right;46,4693458666
2018-12-11-14-04-15;PHS1999w;9;Passive;NC;1,38407551707;unclear;48,2039945427
2018-12-11-14-04-15;PHS1999w;9;Passive;NC;1,38407551707;left;48,2207208314
2018-12-11-14-04-15;PHS1999w;9;Passive;NC;1,38407551707;unclear;53,7917243683
2018-12-11-14-04-15;PHS1999w;9;Passive;NC;1,38407551707;right;53,7917828344
2018-12-11-14-04-15;PHS1999w;9;Passive;NC;1,38407551707;end of the block;60,0132080582
2018-12-11-14-04-15;PHS1999w;10;Passive;KDE -45;1,38784364975;right;0,934065445367
2018-12-11-14-04-15;PHS1999w;10;Passive;KDE -45;1,38784364975;left;14,3110354507
2018-12-11-14-04-15;PHS1999w;10;Passive;KDE -45;1,38784364975;right;31,5578225348
2018-12-11-14-04-15;PHS1999w;10;Passive;KDE -45;1,38784364975;left;39,6639634375
2018-12-11-14-04-15;PHS1999w;10;Passive;KDE -45;1,38784364975;right;43,733807448
2018-12-11-14-04-15;PHS1999w;10;Passive;KDE -45;1,38784364975;left;46,452558624
