Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;right;2,96924186962
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;unclear;10,475299262
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;left;10,4919814269
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;right;15,5795083675
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;unclear;31,1089565561
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;right;31,9595252238
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;left;45,7040175281
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;right;47,9058477768
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;left;52,3427394951
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;right;52,9265779481
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;left;53,7105566631
2018-12-13-13-58-29;RAM1998w;1;Passive;KDE -45;1,08296088869;end of the block;60,0156371971
2018-12-13-13-58-29;RAM1998w;2;Passive;KDE 45;1,21454373817;left;0,867414108932
2018-12-13-13-58-29;RAM1998w;2;Passive;KDE 45;1,21454373817;right;5,93822063127
2018-12-13-13-58-29;RAM1998w;2;Passive;KDE 45;1,21454373817;left;9,77469374046
2018-12-13-13-58-29;RAM1998w;2;Passive;KDE 45;1,21454373817;right;19,9996762466
2018-12-13-13-58-29;RAM1998w;2;Passive;KDE 45;1,21454373817;left;35,0286569986
2018-12-13-13-58-29;RAM1998w;2;Passive;KDE 45;1,21454373817;right;42,5347423812
2018-12-13-13-58-29;RAM1998w;2;Passive;KDE 45;1,21454373817;left;47,4553319794
2018-12-13-13-58-29;RAM1998w;2;Passive;KDE 45;1,21454373817;right;57,0799070725
2018-12-13-13-58-29;RAM1998w;2;Passive;KDE 45;1,21454373817;end of the block;60,0156518142
2018-12-13-13-58-29;RAM1998w;3;Passive;NC;1,01423976456;right;3,93665660056
2018-12-13-13-58-29;RAM1998w;3;Passive;NC;1,01423976456;left;25,2037500661
2018-12-13-13-58-29;RAM1998w;3;Passive;NC;1,01423976456;right;35,4122581568
2018-12-13-13-58-29;RAM1998w;3;Passive;NC;1,01423976456;left;50,2241810531
2018-12-13-13-58-29;RAM1998w;3;Passive;NC;1,01423976456;end of the block;60,0155790397
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;right;0,767366214573
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;left;3,80318746287
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;unclear;17,8145455789
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;right;17,8812642867
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;unclear;29,4741146541
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;left;29,5240470111
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;unclear;34,8283553264
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;right;34,9618739134
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;left;38,8484068906
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;right;48,90654691
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;left;55,8455046168
2018-12-13-13-58-29;RAM1998w;4;Passive;KDE -45;1,365927614;end of the block;60,0156642543
2018-12-13-13-58-29;RAM1998w;5;Passive;KDE 45;1,0146253823;left;0,750728522957
2018-12-13-13-58-29;RAM1998w;5;Passive;KDE 45;1,0146253823;unclear;13,5610954746
2018-12-13-13-58-29;RAM1998w;5;Passive;KDE 45;1,0146253823;right;13,5611710482
2018-12-13-13-58-29;RAM1998w;5;Passive;KDE 45;1,0146253823;left;29,9079731667
2018-12-13-13-58-29;RAM1998w;5;Passive;KDE 45;1,0146253823;unclear;58,8312495141
2018-12-13-13-58-29;RAM1998w;5;Passive;KDE 45;1,0146253823;right;58,8479602912
2018-12-13-13-58-29;RAM1998w;5;Passive;KDE 45;1,0146253823;end of the block;60,0156014319
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;right;0,800713439344
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;left;2,6521765498
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;unclear;9,87471457761
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;right;9,89274524866
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;left;19,2657222563
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;right;26,6884098762
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;left;30,3247427233
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;right;33,4606022249
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;left;37,3804737187
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;right;38,2812938319
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;left;40,5497317605
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;right;41,8173968483
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;left;44,4529002522
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;right;45,5371364772
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;left;49,0732758808
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;right;53,9439104189
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;left;59,8153650701
2018-12-13-13-58-29;RAM1998w;6;Passive;NC;1,40870394042;end of the block;60,0155165282
2018-12-13-13-58-29;RAM1998w;7;Passive;KDE -45;1,12740279638;right;0,367020690985
