Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-05-12-07-52;SKH1997w;1;Passive;KDE -45;1,22605023478;left;12,5932004091
2018-12-05-12-07-52;SKH1997w;1;Passive;KDE -45;1,22605023478;unclear;12,6598951273
2018-12-05-12-07-52;SKH1997w;1;Passive;KDE -45;1,22605023478;left;13,2437349888
2018-12-05-12-07-52;SKH1997w;1;Passive;KDE -45;1,22605023478;right;24,6859581212
2018-12-05-12-07-52;SKH1997w;1;Passive;KDE -45;1,22605023478;left;43,8342303897
2018-12-05-12-07-52;SKH1997w;1;Passive;KDE -45;1,22605023478;end of the block;60,0134908321
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;right;1,55130325854
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;unclear;4,83713070091
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;left;4,83784971437
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;right;14,7782745356
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;left;27,8551868953
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;unclear;28,3554809382
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;right;28,3562111474
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;left;29,5230748275
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;unclear;40,2314651112
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;right;40,2814570721
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;left;59,5131361458
2018-12-05-12-07-52;SKH1997w;2;Passive;KDE 45;1,06540943907;end of the block;60,0134986069
2018-12-05-12-07-52;SKH1997w;3;Passive;NC;1,08852435899;left;15,1118501317
2018-12-05-12-07-52;SKH1997w;3;Passive;NC;1,08852435899;unclear;23,5350461528
2018-12-05-12-07-52;SKH1997w;3;Passive;NC;1,08852435899;right;23,5517280736
2018-12-05-12-07-52;SKH1997w;3;Passive;NC;1,08852435899;left;37,9629801366
2018-12-05-12-07-52;SKH1997w;3;Passive;NC;1,08852435899;right;42,8334868079
2018-12-05-12-07-52;SKH1997w;3;Passive;NC;1,08852435899;left;43,8342733066
2018-12-05-12-07-52;SKH1997w;3;Passive;NC;1,08852435899;right;47,4870423636
