Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;right;44,3343307793
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;unclear;44,5677673403
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;left;44,8347167168
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;unclear;45,0015061206
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;left;45,8687893129
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;right;45,885508091
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;unclear;46,1356876873
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;right;46,7028078591
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;left;46,7194547987
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;unclear;46,9196379091
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;right;48,8544548888
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;unclear;48,9879382848
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;right;50,7726155993
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;unclear;51,7900033151
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;left;51,7900707998
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;right;52,6573384427
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;unclear;53,37462036
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;left;53,441331892
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;right;57,2442353491
2018-12-12-09-04-33;SKM2000W;1;Passive;KDE -45;1,41357046884;end of the block;60,0130422641
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;left;0,734011890982
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;unclear;3,8697493365
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;right;3,88643452776
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;unclear;6,52174996097
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;left;6,63859512506
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;unclear;6,85540278385
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;right;7,12229369445
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;unclear;13,9942317728
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;left;14,0442568696
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;unclear;33,6927324318
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;right;33,7261264494
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;unclear;46,8529092726
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;left;46,9029738651
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;right;52,323822455
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;left;58,0282658062
2018-12-12-09-04-33;SKM2000W;2;Passive;KDE 45;1,41570631079;end of the block;60,0131165905
2018-12-12-09-04-33;SKM2000W;3;Passive;NC;1,18572296136;left;3,0024048793
2018-12-12-09-04-33;SKM2000W;3;Passive;NC;1,18572296136;right;5,85467942303
2018-12-12-09-04-33;SKM2000W;3;Passive;NC;1,18572296136;left;7,53916255591
2018-12-12-09-04-33;SKM2000W;3;Passive;NC;1,18572296136;unclear;7,5558639186
2018-12-12-09-04-33;SKM2000W;3;Passive;NC;1,18572296136;left;7,72269064103
2018-12-12-09-04-33;SKM2000W;3;Passive;NC;1,18572296136;right;8,89027120122
2018-12-12-09-04-33;SKM2000W;3;Passive;NC;1,18572296136;left;11,2587582327
2018-12-12-09-04-33;SKM2000W;3;Passive;NC;1,18572296136;right;46,2691119953
2018-12-12-09-04-33;SKM2000W;3;Passive;NC;1,18572296136;end of the block;60,0129670047
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;right;1,0008791664
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;unclear;9,17387653605
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;left;9,20728361529
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;right;20,4158435302
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;unclear;26,3704717644
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;left;26,3871656633
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;right;27,2378286611
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;left;27,4879684508
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;right;42,5997444913
2018-12-12-09-04-33;SKM2000W;4;Passive;KDE -45;1,14805182596;end of the block;60,013073052
2018-12-12-09-04-33;SKM2000W;5;Passive;KDE 45;1,30495886881;left;0,650692293004
2018-12-12-09-04-33;SKM2000W;5;Passive;KDE 45;1,30495886881;right;5,47096698352
2018-12-12-09-04-33;SKM2000W;5;Passive;KDE 45;1,30495886881;left;9,50749172924
2018-12-12-09-04-33;SKM2000W;5;Passive;KDE 45;1,30495886881;right;15,7128895062
2018-12-12-09-04-33;SKM2000W;5;Passive;KDE 45;1,30495886881;unclear;18,5977753078
2018-12-12-09-04-33;SKM2000W;5;Passive;KDE 45;1,30495886881;left;18,6144791584
2018-12-12-09-04-33;SKM2000W;5;Passive;KDE 45;1,30495886881;right;36,3949235993
2018-12-12-09-04-33;SKM2000W;5;Passive;KDE 45;1,30495886881;end of the block;60,0130845586
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;1,13440703383
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;left;6,53849579512
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;10,8751816954
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;left;15,1785348429
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;17,1634036646
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;left;22,1672490457
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;28,222461131
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;left;30,873957331
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;31,9081166931
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;unclear;33,0256432345
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;left;33,0422873751
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;35,7277404833
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;unclear;40,0810832748
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;left;40,0811520034
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;40,2478555741
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;unclear;40,3812948097
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;42,8332267677
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;left;45,4852668878
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;49,0051210588
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;left;51,7067586656
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;right;53,7750192347
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;left;56,5271238539
2018-12-12-09-04-33;SKM2000W;6;Passive;NC;1,47957400093;end of the block;60,013128719
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;left;0,483823898025
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;unclear;0,867466986944
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;right;0,967569115789
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;left;5,42095090538
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;right;9,99116075466
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;left;16,1625717685
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;right;21,8336260778
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;unclear;22,0838286873
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;right;26,4205211183
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;unclear;29,3727684194
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;right;29,8064773447
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;unclear;30,3235049351
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;left;30,3902609386
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;right;32,458511867
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;left;35,7443802701
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;right;45,1849894233
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;unclear;57,3443272153
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;left;57,3777756561
2018-12-12-09-04-33;SKM2000W;7;Passive;KDE -45;1,10402684043;end of the block;60,0131486223
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;left;0,533804834389
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;right;7,37246427201
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;unclear;10,4581231306
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;left;10,4581921702
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;unclear;14,8781693684
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;right;14,8782343652
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;unclear;20,2157210626
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;left;20,2490765176
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;right;37,8126815788
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;unclear;46,7863473264
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;left;46,8041318644
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;right;48,7211378721
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;unclear;48,9378774242
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;left;48,9379501957
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;right;56,026689713
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;left;59,3292619667
2018-12-12-09-04-33;SKM2000W;8;Passive;KDE 45;1,35959690237;end of the block;60,0130643443
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;0,583928514784
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;5,22090058733
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;9,1905477328
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;14,1944285667
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;17,9139595577
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;unclear;22,4173679991
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;22,4174348618
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;23,8518851853
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;unclear;24,9693594805
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;24,9694235442
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;27,4713128035
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;32,1249682014
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;32,3751611701
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;unclear;36,1280665865
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;36,161379436
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;unclear;41,2319699361
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;41,2486666339
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;unclear;45,9522706253
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;45,952335622
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;unclear;47,4368082435
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;47,4534666896
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;unclear;49,6885462065
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;49,7552471649
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;52,0236771609
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;54,1253264609
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;55,7765163366
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;left;58,4452562644
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;right;59,2963994295
2018-12-12-09-04-33;SKM2000W;9;Passive;NC;1,22526784713;end of the block;60,0132117532
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;right;0,567206004828
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;unclear;34,9938082055
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;left;35,0438675111
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;right;40,8649756527
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;unclear;44,4678533599
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;left;44,5345219754
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;unclear;47,0531396534
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;right;47,0531981194
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;unclear;50,7393015059
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;left;50,7559919839
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;right;54,9425055652
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;left;58,1617367626
2018-12-12-09-04-33;SKM2000W;10;Passive;KDE -45;1,41148512126;end of the block;60,0131420916
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;left;0,667316530381
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;right;1,90173612817
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;left;4,63714933638
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;right;31,6585090059
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;unclear;33,726252711
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;left;33,726310244
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;right;36,1447268986
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;unclear;36,8119501323
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;left;37,1455814969
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;right;38,8135140968
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;unclear;38,9468802499
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;right;41,7490811825
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;unclear;46,9697376433
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;left;46,9864138159
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;unclear;53,0244350415
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;left;59,2125467961
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;unclear;59,4967318148
2018-12-12-09-04-33;SKM2000W;11;Passive;KDE 45;1,37039631282;end of the block;60,0130904674
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;0,517204232189
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;unclear;1,06769114794
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;1,16767883277
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;3,73632222957
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;7,38925551057
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;unclear;10,308078317
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;10,3247352083
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;12,8433475994
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;14,5447827523
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;18,18086042
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;18,6311814541
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;25,3363954364
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;unclear;26,0535364756
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;26,1536892957
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;unclear;34,1264379362
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;34,3099280806
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;37,3456909029
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;42,4328776513
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;unclear;43,4004016736
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;43,4169870373
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;unclear;45,3685175084
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;45,5186441121
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;unclear;51,9902719476
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;52,0236361103
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;55,3095306365
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;right;56,6105370596
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;left;59,562832564
2018-12-12-09-04-33;SKM2000W;12;Passive;NC;1,40155576759;end of the block;60,0130752289
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;right;0,617313202797
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;unclear;2,80233745684
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;left;2,8523358086
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;unclear;11,7425759109
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;right;11,7758934253
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;unclear;21,4332750954
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;left;21,483392556
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;unclear;37,1127279784
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;right;37,1621749463
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;unclear;44,4845460149
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;left;44,6679615219
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;unclear;51,6233311543
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;right;51,6900905787
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;unclear;57,2943649383
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;left;57,3277639318
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;unclear;59,7295787403
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;right;59,7296487128
2018-12-12-09-04-33;SKM2000W;13;Passive;KDE -45;1,29201948269;end of the block;60,0131252982
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;left;0,700643996385
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;unclear;4,05321802269
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;right;4,06987087107
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;unclear;6,93876840823
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;left;6,95544053794
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;right;14,8449376871
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;left;17,3134643386
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;right;31,3076140102
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;unclear;33,6427536723
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;left;33,6428227119
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;right;35,0105518627
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;unclear;38,162902972
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;left;38,1795766567
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;right;50,3556842291
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;unclear;57,394415443
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;left;57,4444815904
2018-12-12-09-04-33;SKM2000W;14;Passive;KDE 45;1,02529377193;end of the block;60,0131601289
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;right;0,950889522339
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;unclear;3,48611340034
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;left;3,50280916522
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;unclear;4,20336266376
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;right;4,33683082127
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;unclear;4,43686235557
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;right;5,45437011319
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;unclear;7,65601642769
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;left;7,6894126223
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;unclear;9,1741710428
2018-12-12-09-04-33;SKM2000W;15;Passive;NC;1,11734792012;right;9,19056701412
