Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-10-09-04-25;SPR1998m;1;Passive;KDE -45;1,05695227682;left;1,0008387352
2018-12-10-09-04-25;SPR1998m;1;Passive;KDE -45;1,05695227682;right;12,1260366792
2018-12-10-09-04-25;SPR1998m;1;Passive;KDE -45;1,05695227682;unclear;29,3892586539
2018-12-10-09-04-25;SPR1998m;1;Passive;KDE -45;1,05695227682;left;29,3893245834
2018-12-10-09-04-25;SPR1998m;1;Passive;KDE -45;1,05695227682;right;41,1315514331
2018-12-10-09-04-25;SPR1998m;1;Passive;KDE -45;1,05695227682;end of the block;60,0128245317
2018-12-10-09-04-25;SPR1998m;2;Passive;KDE 45;1,06023913003;left;0,684629034605
2018-12-10-09-04-25;SPR1998m;2;Passive;KDE 45;1,06023913003;right;7,07216512479
2018-12-10-09-04-25;SPR1998m;2;Passive;KDE 45;1,06023913003;unclear;19,2314688346
2018-12-10-09-04-25;SPR1998m;2;Passive;KDE 45;1,06023913003;left;19,2315338312
2018-12-10-09-04-25;SPR1998m;2;Passive;KDE 45;1,06023913003;right;40,7646397699
2018-12-10-09-04-25;SPR1998m;2;Passive;KDE 45;1,06023913003;unclear;55,8762637006
2018-12-10-09-04-25;SPR1998m;2;Passive;KDE 45;1,06023913003;left;55,9599524934
2018-12-10-09-04-25;SPR1998m;2;Passive;KDE 45;1,06023913003;end of the block;60,0128767778
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;right;3,31928848386
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;unclear;18,5143017257
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;left;18,5143601915
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;right;30,6235484625
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;left;38,1125783535
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;right;44,0838800506
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;left;48,0035990665
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;right;52,7738929131
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;left;55,9429834218
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;right;58,8952075473
2018-12-10-09-04-25;SPR1998m;3;Passive;NC;1,25375708056;end of the block;60,0128298185
2018-12-10-09-04-25;SPR1998m;4;Passive;KDE -45;1,21967020991;right;0,767341013498
2018-12-10-09-04-25;SPR1998m;4;Passive;KDE -45;1,21967020991;unclear;15,4285342877
2018-12-10-09-04-25;SPR1998m;4;Passive;KDE -45;1,21967020991;left;15,4457658333
2018-12-10-09-04-25;SPR1998m;4;Passive;KDE -45;1,21967020991;right;44,7843813014
2018-12-10-09-04-25;SPR1998m;4;Passive;KDE -45;1,21967020991;end of the block;60,0128329284
2018-12-10-09-04-25;SPR1998m;5;Passive;KDE 45;1,23419381011;left;0,483770769348
2018-12-10-09-04-25;SPR1998m;5;Passive;KDE 45;1,23419381011;end of the block;60,0127498946
2018-12-10-09-04-25;SPR1998m;6;Passive;NC;1,47502476212;right;2,00159132666
2018-12-10-09-04-25;SPR1998m;6;Passive;NC;1,47502476212;left;5,28738420354
2018-12-10-09-04-25;SPR1998m;6;Passive;NC;1,47502476212;right;8,25634789131
2018-12-10-09-04-25;SPR1998m;6;Passive;NC;1,47502476212;left;15,9455935459
